Following ^jj+++xvbg+=Following
the ^ati++++=the
introduction ^nn++++=introduction
of ^in++++=of
this ^dt+dem+++=this
ranking ^nvbg+++xvbg+=ranking,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
international ^jj+atrb+++=international
university ^nn++++=university
rankings ^nns++++=rankings
were ^vbd+bed+aux++=were
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
Webometrics ^np+++??+=Webometrics
Ranking ^vwbg+++xvbg+=Ranking
of ^in++++=of
World ^nn++++=World
Universities ^nns++++=Universities
( ^zz++++=(http://www.webometrics.info/en;
http ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Aguillo ^np+++??+=Aguillo,
, ^zz++++=EXTRAWORD
Ortega ^np+++??+=Ortega,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Fernandez ^np+++??+=Fernandez,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008)
) ^zz++++=EXTRAWORD
in ^in++++=in
2004 ^cd++++=2004
and ^cc++++=and
the ^ati++++=the
The ^ati++++=THE-QS
- ^zz++++=EXTRAWORD
qs ^nns+++??+=EXTRAWORD
ranking ^vwbg+++xvbg+=ranking,
, ^zz++++=EXTRAWORD
also ^rb++++=also
launched ^vbd+++xvbn+=launched
in ^in++++=in
2004 ^cd++++=2004.
. ^zz++++=EXTRAWORD
In ^in++++=In
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
the ^ati++++=the
The ^ati++++=THE-QS
- ^zz++++=EXTRAWORD
qs ^nns+++??+=EXTRAWORD
ranking ^vwbg+++xvbg+=ranking
was ^vbd+bedz+aux++=was
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
two ^cd++++=two
separate ^jj+atrb+++=separate
rankings ^nns++++=rankings:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Times ^nns++++=Times
Higher ^jjr+atrb+++=Higher
Education ^nn++++=Education
World ^nn++++=World
University ^nn++++=University
Rankings ^nns++++=Rankings
( ^zz++++=(THE)
the ^ati++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(https://www.timeshighereducation.com/world-university-ranki
https ^nns+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Qs ^np+++??+=QS
World ^nn++++=World
University ^nn++++=University
Rankings ^nns++++=Rankings
( ^zz++++=(QS)
qs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(https://www.topuniversities.com/university-rankings).
https ^nns+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
numerous ^jj+atrb+++=numerous
countries ^nns++++=countries
developed ^vbd+++xvbn+=developed
regional ^jj+atrb+++=regional
or ^cc+phrs+++=or
national ^jj+atrb+++=national
rankings ^nns++++=rankings,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
because ^cs+cos+++=because
international ^jj+atrb+++=international
rankings ^nns++++=rankings
often ^rb++++=often
do ^vb+do+aux++=do
not ^xnot++not++=not
include ^vb++++=include
smaller ^jjr++++=smaller
or ^cc+phrs+++=or
local ^jj+atrb+++=local
academic ^jj+atrb+++=academic
institutions ^nns++++=institutions
from ^in++++=from
all ^abn++++=all
regions ^nns++++=regions
worldwide ^nn+++??+=worldwide
( ^zz++++=(Righetti,
righetti ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
shin ^nn++++=Shin
and ^cc++++=and
toutkoushian ^np++++=Toutkoushian,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
