When ^wrb+who+++=When
the ^ati++++=the
upper ^jjb+atrb+++=upper
section ^nn++++=section
of ^in++++=of
a ^at++++=a
page ^nn++++=page
contains ^vbz++++=contains
text ^nn++++=text
and ^cc++++=and
the ^ati++++=the
lower ^jjr+atrb+++=lower
section ^nn++++=section
contains ^vbz++++=contains
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
images ^nns++++=images,
, ^zz++++=EXTRAWORD
the ^ati++++=the
text ^nn++++=text
assumes ^vbz+vprv+++=assumes
a ^at++++=a
primary ^jj+atrb+++=primary
ideological ^jj+atrb+++=ideological
role ^nn++++=role,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
images ^nns++++=images
serve ^vb++++=serve
a ^at++++=a
secondary ^jj+atrb+++=secondary
function ^nn++++=function,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
specification ^nn++++=specification,
, ^zz++++=EXTRAWORD
evidence ^nn++++=evidence,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
illustrating ^vbg+++xvbg+=illustrating
practical ^jj+atrb+++=practical
consequences ^nns++++=consequences.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
images ^nns++++=images
occupy ^vb++++=occupy
the ^ati++++=the
top ^jjb+atrb+++=top
section ^nn++++=section
of ^in++++=of
the ^ati++++=the
page ^nn++++=page,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visually ^rb++++=visually
presented ^vbd+++xvbn+=presented
content ^nn++++=content
conveys ^vbz++++=conveys
the ^ati++++=the
primary ^jj++++=primary,
, ^zz++++=EXTRAWORD
ideologically ^rb++++=ideologically
foregrounded ^jj+atrb++??+=foregrounded
message ^nn++++=message,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
accompanying ^jj+atrb++xvbg+=accompanying
text ^nn++++=text
functions ^nns++++=functions
to ^in++++=to
elaborate ^jj++++=elaborate
or ^cc++++=or
clarify ^vb++++=clarify
this ^dt+dem+++=this
visual ^jj+atrb+++=visual
information ^nn++++=information.
. ^zz++++=EXTRAWORD
