Figure ^nn++++=Figure
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
psychological ^jj+atrb+++=psychological
variables ^nns++++=variables
assessed ^vwbn+++xvbn+=assessed
in ^in++++=in
the ^ati++++=the
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
comprise ^vb++++=comprise
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
stress ^vb+vpub+++=stress,
, ^zz++++=EXTRAWORD
mood ^nn++++=mood,
, ^zz++++=EXTRAWORD
self ^nn++++=self-esteem,
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
body ^nn++++=body
image ^nn++++=image,
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
function ^nn++++=function,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
quality ^nn++++=quality,
, ^zz++++=EXTRAWORD
suffering ^vbg+++xvbg+=suffering,
, ^zz++++=EXTRAWORD
life ^nn++++=life
satisfaction ^nn++++=satisfaction,
, ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
health ^nn++++=health,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fear ^nn++++=fear
of ^in++++=of
cancer ^nn++++=cancer
recurrence ^nn++++=recurrence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corresponding ^jj+atrb++xvbg+=corresponding
references ^nns++++=references
for ^in++++=for
each ^dt++++=each
variable ^jj++++=variable
are ^vb+ber+aux++=are
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
( ^zz++++=(35,
35 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
36 ^cd++++=36,
, ^zz++++=EXTRAWORD
37 ^cd++++=37
46 ^cd++++=46,
, ^zz++++=EXTRAWORD
48 ^cd++++=48,
, ^zz++++=EXTRAWORD
50 ^cd++++=50),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
( ^zz++++=(35),
35 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fatigue ^nn++++=fatigue
( ^zz++++=(36,
36 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
38 ^cd++++=38,
, ^zz++++=EXTRAWORD
40 ^cd++++=40
42 ^cd++++=42,
, ^zz++++=EXTRAWORD
46 ^cd++++=46,
, ^zz++++=EXTRAWORD
47 ^cd++++=47,
, ^zz++++=EXTRAWORD
49 ^cd++++=49,
, ^zz++++=EXTRAWORD
50 ^cd++++=50),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
( ^zz++++=(37,
37 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
42 ^cd++++=42,
, ^zz++++=EXTRAWORD
47 ^cd++++=47,
