3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Search ^nn++++=Search
strategies ^nns+++??+=strategies:
: ^zz++++=EXTRAWORD
The ^ati++++=The
search ^nn++++=search
process ^nn++++=process
utilized ^vbd+++xvbn+=utilized
terms ^nns++++=terms
in ^in++++=in
both ^abx++++=both
Spanish ^jj++++=Spanish
and ^cc++++=and
English ^nn++++=English,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
relevant ^jj+atrb+++=relevant
acronyms ^nns+++??+=acronyms,
, ^zz++++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
master ^nn++++=master's
's ^$++++=EXTRAWORD
programs ^vbz+++??+=programs
related ^vbd+++xvbn+=related
to ^in++++=to
Ict ^np+++??+=ICT
learning ^vwbg+++xvbg+=learning
management ^nn++++=management.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
ensure ^vbi+vprv+++=ensure
comprehensive ^jj+atrb+++=comprehensive
and ^cc+phrs+++=and
satisfactory ^jj+atrb+++=satisfactory
retrieval ^nn++++=retrieval
of ^in++++=of
pertinent ^jj+atrb+++=pertinent
results ^nns++++=results.
. ^zz++++=EXTRAWORD
