The ^ati++++=The
Abcsim ^np+++??+=AbCSim
infectivity ^nn+++??+=infectivity
submodel ^nn+++??+=submodel
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
mathematical ^jj+atrb+++=mathematical
framework ^nn++++=framework
developed ^vwbn+++xvbn+=developed
by ^in++++=by
Arenas ^np+++??+=Arenas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[31]
31 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
implemented ^vpsv++agls+xvbnx+=implemented
in ^in++++=in
Repast ^nn++++=Repast
to ^to++++=to
simulate ^vbi++++=simulate
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
virus ^nn++++=virus
transmission ^nn++++=transmission
among ^in++++=among
human ^jj+atrb+++=human
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
