Recent ^jj+atrb+++=Recent
developments ^nns++++=developments
in ^in++++=in
the ^ati++++=the
policy ^nn++++=policy
dismantling ^nn++++=dismantling
literature ^nn++++=literature
have ^vb+hv+vrb++=have
broadened ^nn+++??+=broadened
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
analysis ^nn++++=analysis
to ^to++++=to
include ^vbi++++=include
policy ^nn++++=policy
changes ^vbz++++=changes
driven ^vpsv++by+xvbn+=driven
by ^in++++=by
the ^ati++++=the
actions ^nns++++=actions
of ^in++++=of
illiberal ^jj+atrb+++=illiberal
leaders ^nns++++=leaders,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
those ^dt+dem+++=those
solely ^rb++++=solely
resulting ^jj+++xvbg+=resulting
from ^in++++=from
fiscal ^jj+atrb+++=fiscal
constraints ^nns+++??+=constraints
or ^cc++++=or
neoliberal ^nn+++??+=neoliberal
reforms ^nns++++=reforms.
. ^zz++++=EXTRAWORD
Bauer ^np+++??+=Bauer,
, ^zz++++=EXTRAWORD
Peters ^np++++=Peters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pierre ^&fw++++=Pierre
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
contend ^vb+vpub+++=contend
that ^tht+vcmp+++=that
populist ^nn+++??+=populist
regimes ^nns++++=regimes
engage ^vb++++=engage
in ^in++++=in
reshaping ^xvbg+++xvbg+=reshaping
administrative ^jj+atrb+++=administrative
structures ^nns++++=structures
into ^in++++=into
illiberal ^jj+atrb+++=illiberal
forms ^nns++++=forms
through ^in++++=through
five ^cd++++=five
primary ^jj+atrb+++=primary
strategies ^nns+++??+=strategies:
: ^zz++++=EXTRAWORD
restructuring ^nn+++??+=restructuring
organizational ^jj+atrb+++=organizational
frameworks ^nns++++=frameworks,
, ^zz++++=EXTRAWORD
reallocating ^nn+++??+=reallocating
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
controlling ^jj+atrb++xvbg+=controlling
personnel ^nns++++=personnel,
, ^zz++++=EXTRAWORD
promoting ^vbg+++xvbg+=promoting
illiberal ^jj+atrb+++=illiberal
norms ^nns++++=norms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weakening ^vbg+++xvbg+=weakening
accountability ^nn+++??+=accountability
mechanisms ^nns++++=mechanisms.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
particular ^jj+atrb+++=particular
relevance ^nn++++=relevance
to ^in++++=to
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
the ^ati++++=the
third ^nn++++=third
strategy ^nn++++=strategy,
, ^zz++++=EXTRAWORD
described ^j+++xvbn+=described
as ^ql++++=as
the ^ati++++=the
" ^zz++++="ideological
ideological ^jj+atrb+++=EXTRAWORD
cleansing ^nn++++=cleansing
of ^in++++=of
staff ^nn++++=staff"
" ^zz++++=EXTRAWORD
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Bauer ^np+++??+=Bauer
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
democratic ^jj+atrb+++=democratic
backsliding ^nn+++??+=backsliding
should ^md+nec+++=should
be ^vb+be+aux++=be
examined ^vpsv++agls+xvbnx+=examined
not ^xnot++not++=not
only ^rb+down+++=only
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
political ^jj+atrb+++=political
and ^cc+phrs+++=and
judicial ^jj+atrb+++=judicial
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
its ^pp$+it+++=its
impact ^nn++++=impact
on ^in++++=on
public ^jj+atrb+++=public
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
plays ^vbz++++=plays
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
public ^jj+atrb+++=public
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
