Based ^xvbn+++xvbn+=Based
on ^in++++=on
values ^nns++++=values
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
[ ^zz++++=[31],
31 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
initial ^jj+atrb+++=initial
calibration ^nn+++??+=calibration
of ^in++++=of
parameters ^nns++++=parameters
primarily ^rb+down+++=primarily
associated ^vbd+++xvbn+=associated
with ^in++++=with
virus ^nn++++=virus
transmission ^nn++++=transmission
among ^in++++=among
hosts ^nns++++=hosts
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed.
. ^zz++++=EXTRAWORD
To ^to++++=To
refine ^vbi++++=refine
these ^dt+dem+++=these
parameter ^nn++++=parameter
values ^nns++++=values,
, ^zz++++=EXTRAWORD
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
epidemic ^nn++++=epidemic
indicators ^nns++++=indicators
in ^in++++=in
the ^ati++++=the
municipality ^nn++++=municipality
of ^in++++=of
Vo ^np+++??+=Vo,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
village ^nn++++=village
in ^in++++=in
northern ^np++++=northern
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
from ^in++++=from
March ^nr++++=March
to ^in++++=to
May ^md+pos+++=May
2020 ^cd++++=2020
[ ^zz++++=[46],
46 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
information ^nn++++=information
regarding ^in++++=regarding
the ^ati++++=the
geographical ^jj++++=geographical,
, ^zz++++=EXTRAWORD
climatic ^jj++++=climatic,
, ^zz++++=EXTRAWORD
demographic ^jj++++=demographic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behavioral ^jj+atrb+++=behavioral
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
population ^nn++++=population
was ^vbd+bedz+aux++=was
incorporated ^vpsv++agls+xvbn+=incorporated.
. ^zz++++=EXTRAWORD
