Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Sus ^np+++??+=SUS
faces ^nns++++=faces
challenges ^vbz++++=challenges
in ^in++++=in
sustaining ^xvbg+++xvbg+=sustaining
its ^pp$+it+++=its
service ^nn++++=service
network ^nn++++=network
and ^cc++++=and
adequately ^rb++++=adequately
compensating ^vbg+++xvbg+=compensating
its ^pp$+it+++=its
workforce ^nn+++??+=workforce,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
constrains ^vbz+++??+=constrains
the ^ati++++=the
necessary ^jj+atrb+++=necessary
expansion ^nn++++=expansion
of ^in++++=of
public ^jj+atrb+++=public
infrastructure ^nn+++??+=infrastructure.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Paim ^np+++??+=Paim,
, ^zz++++=EXTRAWORD
a ^at++++=a
" ^zz++++="passive
passive ^jj+atrb+++=EXTRAWORD
boycott ^nn++++=boycott"
" ^zz++++=EXTRAWORD
persists ^vbz++++=persists
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
insufficient ^jj+atrb+++=insufficient
public ^jj+atrb+++=public
funding ^nn+++??+=funding,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
an ^at++++=an
" ^zz++++="active
active ^jj+atrb+++=EXTRAWORD
boycott ^nn++++=boycott"
" ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
reinforced ^vpsv++agls+xvbnx+=reinforced
when ^wrb+who+++=when
the ^ati++++=the
state ^nn++++=state
provides ^vbz+vsua+++=provides
incentives ^nns++++=incentives,
, ^zz++++=EXTRAWORD
recognition ^nn++++=recognition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preferential ^jj+atrb+++=preferential
treatment ^nn++++=treatment
to ^in++++=to
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector
through ^in++++=through
mechanisms ^nns++++=mechanisms
such ^abl++++=such
as ^ql++++=as
subsidies ^nns++++=subsidies,
, ^zz++++=EXTRAWORD
deregulation ^nn++++=deregulation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sub ^nn++++=sub-regulation.
- ^zz++++=EXTRAWORD
regulation. ^nn++++=EXTRAWORD
