At ^rb++++=At
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
blood ^nn++++=blood
collection ^nn++++=collection
process ^nn++++=process,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interviewer ^nn++++=interviewer
initiated ^vbd+++xvbn+=initiated
a ^at++++=a
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
lasted ^vbd+++xvbn+=lasted
between ^in++++=between
30 ^cd++++=30
and ^cc++++=and
45 ^cd++++=45
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
the ^ati++++=the
interviewee ^nn+++??+=interviewee's
's ^$++++=EXTRAWORD
ability ^nn++++=ability
to ^to+ncmp+++=to
comprehend ^vb+++??+=comprehend
and ^cc++++=and
respond ^vb++++=respond
to ^in++++=to
the ^ati++++=the
questions ^nns++++=questions.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
the ^ati++++=the
Datagoal ^np+++??+=DataGoal
application ^nn++++=application
installed ^vwbn+++xvbn+=installed
on ^in++++=on
tablets ^nns++++=tablets,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
also ^rb++++=also
recorded ^vbd+vpub++xvbn+=recorded
the ^ati++++=the
geographic ^nn+++??+=geographic
coordinates ^nns++++=coordinates
( ^zz++++=(latitude
latitude ^nn++++=EXTRAWORD
and ^cc++++=and
longitude ^nn++++=longitude)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
interviewee ^nn++++=interviewee's
's ^$++++=EXTRAWORD
residence ^nn++++=residence.
. ^zz++++=EXTRAWORD
