Data ^nns++++=Data
availability ^nn++++=availability
for ^in++++=for
each ^dt++++=each
Dimension ^nn++++=Dimension
is ^vbz+bez+aux++=is
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
95.83 ^cd++++=95.83%
% ^zz++++=EXTRAWORD
for ^in++++=for
Teaching ^xvbg+++xvbg+=Teaching
and ^cc++++=and
Learning ^xvbg+++xvbg+=Learning,
, ^zz++++=EXTRAWORD
81.42 ^cd++++=81.42%
% ^zz++++=EXTRAWORD
for ^in++++=for
Research ^nn++++=Research,
, ^zz++++=EXTRAWORD
95.17 ^cd++++=95.17%
% ^zz++++=EXTRAWORD
for ^in++++=for
Knowledge ^nn++++=Knowledge
Transfer ^nn++++=Transfer,
, ^zz++++=EXTRAWORD
95.17 ^cd++++=95.17%
% ^zz++++=EXTRAWORD
for ^in++++=for
International ^jj+atrb+++=International
Orientation ^nn++++=Orientation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
84.83 ^cd++++=84.83%
% ^zz++++=EXTRAWORD
for ^in++++=for
Regional ^jj+atrb+++=Regional
Engagement ^nn++++=Engagement.
. ^zz++++=EXTRAWORD
Teaching ^vbg+vsua++xvbg+=Teaching
and ^cc+phrs+++=and
Learning ^vbg+++xvbg+=Learning
and ^cc++++=and
International ^jj+atrb+++=International
Orientation ^nn++++=Orientation
exhibit ^vb++++=exhibit
the ^ati++++=the
highest ^jjt+atrb+++=highest
data ^nns++++=data
availability ^nn++++=availability,
, ^zz++++=EXTRAWORD
both ^abx++++=both
exceeding ^jj+++xvbg+=exceeding
95 ^cd++++=95%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
Dimensions ^nns++++=Dimensions
also ^rb++++=also
demonstrate ^vb+vprv+++=demonstrate
acceptable ^jj+atrb+++=acceptable
levels ^nns++++=levels
of ^in++++=of
data ^nns++++=data
availability ^nn++++=availability,
, ^zz++++=EXTRAWORD
each ^dt++++=each
above ^jjb++++=above
80 ^cd++++=80%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
