Building ^nvbg+++xvbg+=Building
on ^in++++=on
the ^ati++++=the
framework ^nn++++=framework
established ^vwbn+++xvbn+=established
by ^in++++=by
Valenzuela ^np+++??+=Valenzuela
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
compares ^vbz++++=compares
the ^ati++++=the
resolution ^nn++++=resolution
of ^in++++=of
zero ^cd++++=zero
and ^cc++++=and
pronominal ^nn+++??+=pronominal
forward ^rb++++=forward
and ^cc++++=and
backward ^jj+atrb+++=backward
anaphora ^nn+++??+=anaphora
in ^in++++=in
Spanish ^jj++++=Spanish
and ^cc++++=and
Portuguese ^nn++++=Portuguese
with ^in++++=with
the ^ati++++=the
resolution ^nn++++=resolution
of ^in++++=of
non ^&fw++++=non-emphatic
- ^zz++++=EXTRAWORD
emphatic ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
emphatic ^jj+atrb+++=emphatic
pronominal ^nn+++??+=pronominal
forward ^rb++++=forward
and ^cc++++=and
backward ^jj+atrb+++=backward
anaphora ^nn+++??+=anaphora
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
initial ^jj+atrb+++=initial
pilot ^nn++++=pilot
studies ^nns++++=studies
( ^zz++++=(Bruscato
bruscato ^nn+++??+=EXTRAWORD
& ^zz++++=&
Baptista ^np+++??+=Baptista,
, ^zz++++=EXTRAWORD
2022a ^cd++++=2022a,
, ^zz++++=EXTRAWORD
2022b ^cd++++=2022b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
research ^nn++++=research
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
extended ^vpsv++agls+xvbnx+=extended
to ^to++++=to
examine ^vbi++++=examine
how ^wrb+who+++=how
both ^abx++++=both
L1 ^np+++??+=L1
and ^cc++++=and
L2 ^np+++??+=L2
speakers ^nns++++=speakers
address ^nn++++=address
ambiguity ^nn++++=ambiguity
in ^in++++=in
anaphora ^nn++++=anaphora
resolution ^nn++++=resolution
across ^in+pl+++=across
these ^dt+dem+++=these
languages ^nns++++=languages.
. ^zz++++=EXTRAWORD
