Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy
& ^zz++++=&
Dad ^npt++++=Dad
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
depicts ^vbz++++=depicts
the ^ati++++=the
characters ^nns++++=characters
engaging ^vwbg+++xvbg+=engaging
in ^in++++=in
various ^jj+atrb+++=various
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
including ^in++++=including
painting ^xvbg+++xvbg+=painting,
, ^zz++++=EXTRAWORD
washing ^nvbg+++xvbg+=washing
the ^ati++++=the
car ^nn++++=car
and ^cc++++=and
playing ^nvbg+++xvbg+=playing
with ^in++++=with
the ^ati++++=the
hose ^nn++++=hose,
, ^zz++++=EXTRAWORD
cooking ^nvbg+++xvbg+=cooking,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
Time ^nn++++=Time
for ^in++++=for
tea ^nn++++=tea
, ^zz++++=,
visiting ^vbg+++xvbg+=visiting
the ^ati++++=the
local ^nn++++=local
swings ^vbz++++=swings,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
dress ^nn++++=dress
up ^rp++++=up,
, ^zz++++=EXTRAWORD
fishing ^nvbg+++xvbg+=fishing,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
chase ^nn++++=chase,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reading ^nvbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
these ^dt+dem+++=these
activities ^nns++++=activities
are ^vb+ber+aux++=are
represented ^vpsv++agls+xvbnx+=represented
through ^in++++=through
material ^nn++++=material
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
observable ^jj+atrb+++=observable
actions ^nns++++=actions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
range ^nn++++=range
of ^in++++=of
activities ^nns++++=activities
presented ^vwbn+++xvbn+=presented
both ^abx++++=both
visually ^rb++++=visually
and ^cc++++=and
textually ^nn+++??+=textually
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
Emily ^np+++??+=Emily
and ^cc++++=and
her ^pp$+pp3+++=her
two ^cd++++=two
fathers ^nns++++=fathers
are ^vb+ber+aux++=are
portrayed ^vpsv++agls+xvbnx+=portrayed
as ^ql++++=as
an ^at++++=an
active ^jj+atrb+++=active
family ^nn++++=family
unit ^nn++++=unit.
. ^zz++++=EXTRAWORD
Activities ^nns++++=Activities
such ^abl++++=such
as ^ql++++=as
drinking ^jj+++xvbg+=drinking
with ^in++++=with
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
and ^cc+phrs+++=and
running ^vbg+++xvbg+=running
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reading ^nvbg+++xvbg+=reading
to ^in++++=to
her ^pp$+pp3+++=her
in ^in++++=in
bed ^nn++++=bed
emphasize ^vb++++=emphasize
their ^pp$+pp3+++=their
familial ^nn+++??+=familial
bond ^np++++=bond
and ^cc++++=and
illustrate ^vb++++=illustrate
that ^cs+sub+++=that
their ^pp$+pp3+++=their
daily ^jj+atrb+++=daily
routines ^nns++++=routines
are ^vb+ber+vrb++=are
comparable ^jj+pred+++=comparable
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
heterosexual ^jj+atrb+++=heterosexual
families ^nns++++=families.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
picturebook ^nn+++??+=picturebook
exemplifies ^nns+++??+=exemplifies
what ^wdt+who+++=what
Sunderland ^np++++=Sunderland
and ^cc++++=and
Mclashan ^np+++??+=McLashan
( ^zz++++=(2012,
2012 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
168 ^cd++++=168)
) ^zz++++=EXTRAWORD
describe ^vb++++=describe
as ^in++++=as
the ^ati++++=the
backgrounding ^nn+++??+=backgrounding
strategy ^nn++++=strategy
in ^in++++=in
the ^ati++++=the
representation ^nn++++=representation
of ^in++++=of
gay ^jj+atrb+++=gay
families ^nns++++=families,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
narrative ^nn++++=narrative
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
address ^nn++++=address
issues ^nns++++=issues
of ^in++++=of
gay ^jj+atrb+++=gay
sexuality ^nn++++=sexuality
directly ^rb++++=directly
or ^cc+phrs+++=or
indirectly ^rb+cnj+++=indirectly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
focuses ^vbz++++=focuses
on ^in++++=on
family ^nn++++=family
life ^nn++++=life
and ^cc++++=and
personal ^jj+atrb+++=personal
experiences ^nns++++=experiences
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
exclusive ^jj++++=exclusive
to ^in++++=to
gay ^jj+atrb+++=gay
families ^nns++++=families.
. ^zz++++=EXTRAWORD
