Agent ^nn++++=Agent-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
models ^nns++++=models
( ^zz++++=(ABM)
abm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
computational ^jj+atrb+++=computational
modeling ^nn+++??+=modeling
and ^cc++++=and
simulation ^nn++++=simulation
techniques ^nns++++=techniques
employed ^vbd+++xvbn+=employed
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
organization ^nn++++=organization
and ^cc++++=and
dynamics ^nn++++=dynamics
of ^in++++=of
complex ^jj+atrb+++=complex
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
models ^nns++++=models
comprise ^vb++++=comprise
an ^at++++=an
artificial ^jj+atrb+++=artificial
society ^nn++++=society
composed ^vwbn+++xvbn+=composed
of ^in++++=of
autonomous ^jj+atrb+++=autonomous
and ^cc+phrs+++=and
heterogeneous ^jj+atrb+++=heterogeneous
agents ^nns++++=agents
that ^tht+rel+obj++=that
interact ^nn+++??+=interact
with ^in++++=with
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
with ^in++++=with
their ^pp$+pp3+++=their
environment ^nn++++=environment
in ^in++++=in
non ^&fw++++=non-trivial
- ^zz++++=EXTRAWORD
trivial ^jj+atrb+++=EXTRAWORD
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
following ^jj+atrb++xvbg+=following
predefined ^nn+++??+=predefined
rules ^nns++++=rules
that ^tht+rel+subj++=that
establish ^vb+vprv+++=establish
a ^at++++=a
specific ^jj+atrb+++=specific
social ^jj+atrb+++=social
architecture ^nn++++=architecture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
social ^jj+atrb+++=social
dimension ^nn++++=dimension
of ^in++++=of
Abm ^np+++??+=ABM
arises ^vbz++++=arises
from ^in++++=from
the ^ati++++=the
heterogeneity ^nn+++??+=heterogeneity,
, ^zz++++=EXTRAWORD
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
interdependence ^nn+++??+=interdependence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
embedding ^nn+++??+=embedding
of ^in++++=of
the ^ati++++=the
computational ^jj+atrb+++=computational
agents ^nns++++=agents
[ ^zz++++=[20].
20 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
relatively ^rb++++=relatively
few ^ap++++=few
models ^nns++++=models
with ^in++++=with
these ^dt+dem+++=these
characteristics ^nns++++=characteristics
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
[ ^zz++++=[10][11][21][22][23].
10][11][21][22][23 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
existing ^jj+atrb++xvbg+=existing
models ^nns++++=models
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
for ^in++++=for
specific ^jj+atrb+++=specific
contexts ^nns++++=contexts
within ^in++++=within
particular ^jj+atrb+++=particular
regions ^nns++++=regions
or ^cc++++=or
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
challenging ^jj+++xvbg+=challenging
to ^to++++=to
generalize ^vbi++++=generalize
or ^cc+phrs+++=or
adapt ^vb++++=adapt
them ^pp3o+pp3+++=them
to ^in++++=to
new ^jj+atrb+++=new
situations ^nns++++=situations
without ^in++++=without
substantial ^jj+atrb+++=substantial
scientific ^jj+atrb+++=scientific
and ^cc+phrs+++=and
technical ^jj+atrb+++=technical
expertise ^nn++++=expertise.
. ^zz++++=EXTRAWORD
