Data ^nns++++=Data
on ^in++++=on
age ^nn++++=age,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
race ^nn++++=race,
, ^zz++++=EXTRAWORD
educational ^jj+atrb+++=educational
attainment ^nn++++=attainment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
history ^nn++++=history
of ^in++++=of
comorbidities ^nns+++??+=comorbidities
including ^in++++=including
obesity ^nn++++=obesity,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes
mellitus ^nns+++??+=mellitus,
, ^zz++++=EXTRAWORD
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
neurologic ^nn+++??+=neurologic
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kidney ^nn++++=kidney
disease ^nn++++=disease
were ^vbd+bed+aux++=were
also ^rb++splt++=also
collected ^vpsv++agls+xvbn+=collected.
. ^zz++++=EXTRAWORD
