Spanish ^jj+atrb+++=Spanish
learners ^nns++++=learners
tend ^vb++++=tend
to ^to+vcmp+++=to
interpret ^vbi++++=interpret
ellipsis ^nns+++??+=ellipsis
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
position ^nn++++=position
of ^in++++=of
subordinate ^jj+atrb+++=subordinate
clauses ^nns++++=clauses
as ^ql++++=as
referring ^jj+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause,
, ^zz++++=EXTRAWORD
a ^at++++=a
pattern ^nn++++=pattern
observed ^vbd+vprv++xvbn+=observed
particularly ^rb++++=particularly
among ^in++++=among
Brazilian ^jj+atrb+++=Brazilian
participants ^nns++++=participants
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
zero ^cd++++=zero
anaphora ^nn+++??+=anaphora.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
did ^vbd+dod+aux++=did
not ^xnot++not++=not
demonstrate ^vb+vprv+++=demonstrate
a ^at++++=a
consistent ^jj+atrb+++=consistent
preference ^nn++++=preference
for ^in++++=for
the ^ati++++=the
antecedent ^nn++++=antecedent
of ^in++++=of
the ^ati++++=the
pronoun ^nn++++=pronoun.
. ^zz++++=EXTRAWORD
The ^ati++++=The
alternative ^nn++++=alternative
" ^zz++++="other"
other ^ap++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
only ^rb+down+++=only
in ^in++++=in
instances ^nns++++=instances
of ^in++++=of
pronominal ^nn+++??+=pronominal
cataphora ^nn+++??+=cataphora,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
occurred ^jj+++xvbn+=occurred
exclusively ^rb++++=exclusively
among ^in++++=among
native ^jj+atrb+++=native
speakers ^nns++++=speakers
and ^cc++++=and
advanced ^jj+atrb++xvbn+=advanced
Portuguese ^nn++++=Portuguese
learners ^nns++++=learners.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
groups ^nns++++=groups
of ^in++++=of
European ^jj+atrb+++=European
Portuguese ^nn++++=Portuguese
speakers ^nns++++=speakers
exhibited ^vbd+++xvbn+=exhibited
opposite ^jj+atrb+++=opposite
patterns ^nns++++=patterns
in ^in++++=in
their ^pp$+pp3+++=their
responses ^nns++++=responses
to ^in++++=to
pronominal ^nn+++??+=pronominal
cataphora ^nn+++??+=cataphora,
, ^zz++++=EXTRAWORD
with ^in++++=with
intermediate ^jj+atrb+++=intermediate
learners ^nns++++=learners
displaying ^vwbg+++xvbg+=displaying
results ^nns++++=results
more ^rbr++++=more
similar ^jj++++=similar
to ^in++++=to
native ^jj+atrb+++=native
speakers ^nns++++=speakers
than ^in++++=than
to ^to++++=to
advanced ^vbi+vsua++xvbn+=advanced
learners ^nns++++=learners.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
the ^ati++++=the
group ^nn++++=group
sizes ^nns++++=sizes
varied ^vbd+++xvbn+=varied
considerably ^rb+cnj+++=considerably,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
intermediate ^jj+atrb+++=intermediate
group ^nn++++=group
consisting ^vbg+++xvbg+=consisting
of ^in++++=of
only ^rb+down+++=only
four ^cd++++=four
participants ^nns++++=participants.
. ^zz++++=EXTRAWORD
