The ^ati++++=The
second ^od++++=second
highest ^jjt+atrb+++=highest
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
Research ^nn++++=Research
publications ^nns++++=publications
( ^zz++++=(absolute
absolute ^jj+atrb+++=EXTRAWORD
numbers ^nns++++=numbers)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Research ^nn++++=Research
publications ^nns++++=publications
( ^zz++++=(size-normalized),
size ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
normalized ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
value ^nn++++=value
of ^in++++=of
0.6953 ^nn+++??+=0.6953,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
at ^rb++++=at
the ^ati++++=the
threshold ^nn++++=threshold
for ^in++++=for
classification ^nn++++=classification
as ^in++++=as
a ^at++++=a
strong ^jj+atrb+++=strong
correlation ^nn++++=correlation.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
rankings ^nns++++=rankings
based ^vwbn+++xvbn+=based
on ^in++++=on
total ^jj+atrb+++=total
publications ^nns++++=publications
and ^cc++++=and
those ^dt+dem+++=those
based ^jj+++xvbn+=based
on ^in++++=on
publications ^nns++++=publications
per ^in++++=per
faculty ^nn++++=faculty
member ^nn++++=member
are ^vb+ber+vrb++=are
similar ^jj+pred+++=similar,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
identical ^jj++++=identical.
. ^zz++++=EXTRAWORD
Publications ^nns++++=Publications
per ^in++++=per
faculty ^nn++++=faculty
member ^nn++++=member
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
more ^rbr++++=more
appropriate ^jj+atrb+++=appropriate
metric ^nn+++??+=metric
for ^in++++=for
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
accounts ^vbz++++=accounts
for ^in+ppvb+++=for
differences ^nns++++=differences
in ^in++++=in
institutional ^jj+atrb+++=institutional
size ^nn++++=size;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
results ^nns++++=results
derived ^vwbn+++xvbn+=derived
from ^in++++=from
both ^abx++++=both
indicators ^nns++++=indicators
do ^vb+do+aux++=do
not ^xnot++not++=not
differ ^vb++++=differ
substantially ^rb++++=substantially.
. ^zz++++=EXTRAWORD
