Among ^in++++=Among
the ^ati++++=the
studies ^nns++++=studies
included ^vbd+++xvbn+=included,
, ^zz++++=EXTRAWORD
the ^ati++++=the
earliest ^jjt++++=earliest
are ^vb+ber+vrb++=are
those ^dt+dem+++=those
by ^in++++=by
Carayol ^np+++??+=Carayol
et ^&fw++++=et
al.47 ^nn+++??+=al.47
and ^cc++++=and
Schmidt ^np+++??+=Schmidt
et ^&fw++++=et
al.38 ^nn+++??+=al.38,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
more ^rbr++++=more
recent ^jj+atrb+++=recent
investigations ^nns++++=investigations
include ^vb++++=include
those ^dt+dem+++=those
by ^in++++=by
Andersen ^np+++??+=Andersen
et ^&fw++++=et
al.35 ^nn+++??+=al.35,
, ^zz++++=EXTRAWORD
Boing ^np+++??+=Boing
et ^&fw++++=et
al.36 ^nn+++??+=al.36,
, ^zz++++=EXTRAWORD
Pudkasam ^np+++??+=Pudkasam
et ^&fw++++=et
al.37 ^nn+++??+=al.37,
, ^zz++++=EXTRAWORD
Smith ^np++++=Smith-Turchyn
- ^zz++++=EXTRAWORD
turchyn ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al.39 ^nn+++??+=al.39,
, ^zz++++=EXTRAWORD
Foulkes ^np++++=Foulkes
et ^&fw++++=et
al.46 ^nn+++??+=al.46,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Meier ^np+++??+=Meier-Girard
- ^zz++++=EXTRAWORD
girard ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al.50 ^nn+++??+=al.50.
. ^zz++++=EXTRAWORD
The ^ati++++=The
impact ^nn++++=impact
factors ^nns++++=factors
of ^in++++=of
the ^ati++++=the
journals ^nns++++=journals
in ^in++++=in
which ^whp+rel+pied++=which
these ^dt+dem+++=these
studies ^nns++++=studies
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
1.55240 ^cd++++=1.55240
to ^to++++=to
3.15045,46,51 ^cd++++=3.15045,46,51.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
17 ^cd++++=17
articles ^nns++++=articles
identified ^vwbn+++xvbn+=identified,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
twelve ^cd++++=twelve
were ^vbd+bed+aux++=were
indexed ^vpsv++agls+xvbnx+=indexed
in ^in++++=in
the ^ati++++=the
Web ^nn++++=Web
of ^in++++=of
Science ^nn++++=Science.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
of ^in++++=of
April ^nr++++=April
12 ^cd++++=12,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
articles ^nns++++=articles
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
the ^ati++++=the
following ^jj+atrb++xvbg+=following
number ^nn++++=number
of ^in++++=of
citations ^nns+++??+=citations:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
citation ^nn+++??+=citation
for ^in++++=for
articles ^nns++++=articles
36 ^cd++++=36,
, ^zz++++=EXTRAWORD
38 ^cd++++=38,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
41 ^cd++++=41;
; ^zz++++=EXTRAWORD
two ^cd++++=two
citations ^nns+++??+=citations
for ^in++++=for
articles ^nns++++=articles
45 ^cd++++=45,
, ^zz++++=EXTRAWORD
46 ^cd++++=46,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
51 ^cd++++=51;
; ^zz++++=EXTRAWORD
four ^cd++++=four
citations ^nns+++??+=citations
for ^in++++=for
article ^nn++++=article
42 ^cd++++=42;
; ^zz++++=EXTRAWORD
five ^cd++++=five
citations ^nns+++??+=citations
for ^in++++=for
article ^nn++++=article
40 ^cd++++=40;
; ^zz++++=EXTRAWORD
six ^cd++++=six
citations ^nns+++??+=citations
for ^in++++=for
article ^nn++++=article
43 ^cd++++=43;
; ^zz++++=EXTRAWORD
seven ^cd++++=seven
citations ^nns+++??+=citations
for ^in++++=for
article ^nn++++=article
44 ^cd++++=44;
; ^zz++++=EXTRAWORD
eight ^cd++++=eight
citations ^nns+++??+=citations
for ^in++++=for
article ^nn++++=article
48 ^cd++++=48;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twelve ^cd++++=twelve
citations ^nns++++=citations
for ^in++++=for
article ^nn++++=article
47 ^cd++++=47.
. ^zz++++=EXTRAWORD
