Among ^in++++=Among
the ^ati++++=the
resources ^nns++++=resources
capable ^jj++++=capable
of ^in++++=of
facilitating ^xvbg+++xvbg+=facilitating
knowledge ^nn++++=knowledge
generation ^nn++++=generation
in ^in++++=in
various ^jj+atrb+++=various
contexts ^nns++++=contexts
are ^vb+ber+vrb++=are
Personal ^jj+atrb+++=Personal
Learning ^jj+++xvbg+=Learning
Environments ^np+++??+=Environments
( ^zz++++=(PLEs),
ples ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
challenge ^vb++++=challenge
traditional ^jj+atrb+++=traditional
educational ^jj+atrb+++=educational
structures ^nns++++=structures
within ^in++++=within
training ^nn++++=training
institutions ^nns++++=institutions
and ^cc++++=and
promote ^vb++++=promote
self ^nn++++=self-directed
- ^zz++++=EXTRAWORD
directed ^vbd+++xvbn+=EXTRAWORD
learning ^xvbg+++xvbg+=learning
tailored ^vbd+++xvbn+=tailored
to ^in++++=to
individual ^jj+atrb+++=individual
students ^nns++++=students'
' ^zz++++=EXTRAWORD
interests ^nns++++=interests
and ^cc++++=and
needs ^nns++++=needs
( ^zz++++=(Llorente
llorente ^nn+++??+=EXTRAWORD
& ^zz++++=&
Cabero ^np+++??+=Cabero,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Rus ^np+++??+=Rus-Casas
- ^zz++++=EXTRAWORD
casas ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
report ^vb++++=report
that ^tht+vcmp+++=that
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
Ples ^np+++??+=PLEs
supports ^vbz++++=supports
the ^ati++++=the
achievement ^nn++++=achievement
of ^in++++=of
sustainable ^nn+++??+=sustainable
learning ^vwbg+vprv++xvbg+=learning
objectives ^nns++++=objectives,
, ^zz++++=EXTRAWORD
including ^in++++=including
information ^nn++++=information
management ^nn++++=management
and ^cc++++=and
organization ^nn++++=organization,
, ^zz++++=EXTRAWORD
collaborative ^nn+++??+=collaborative
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
knowledge ^nn++++=knowledge
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
13 ^cd++++=13).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
