Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
model ^nn++++=model
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
positively ^rb++splt++=positively
evaluated ^vpsv++by+xvbn+=evaluated
by ^in++++=by
scholars ^nns++++=scholars
and ^cc++++=and
educators ^nns++++=educators
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
cognitive ^nn+++??+=cognitive,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
teaching ^vbg+vsua++xvbg+=teaching
presences ^nns+++??+=presences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
accounts ^vbz++++=accounts
for ^in+ppvb+++=for
various ^jj+atrb+++=various
language ^nn++++=language
manifestations ^nns++++=manifestations,
, ^zz++++=EXTRAWORD
including ^in++++=including
emoticons ^nns+++??+=emoticons,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
reasonable ^jj+pred+++=reasonable
to ^to+jcmp+++=to
propose ^vbi++++=propose
that ^tht+vcmp+++=that
the ^ati++++=the
model ^nn++++=model
can ^md+pos+++=can
be ^vb+be+aux++=be
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
emojis ^nns+++??+=emojis
in ^in++++=in
interactions ^nns++++=interactions
that ^tht+rel+subj++=that
take ^vb++++=take
place ^nn++++=place
during ^in++++=during
online ^nn++++=online
educational ^jj++++=educational
experiences ^vbz++++=experiences
conducted ^vpsv++agls+xvbn+=conducted
through ^in++++=through
whatsapp ^np++++=WhatsApp.
. ^zz++++=EXTRAWORD
