Conditions ^nns++++=Conditions
deteriorated ^vbd+++xvbn+=deteriorated
during ^in++++=during
the ^ati++++=the
Temer ^np+++??+=Temer
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
situation ^nn++++=situation
worsened ^vbd+++xvbn+=worsened
significantly ^rb++++=significantly
under ^in++++=under
Bolsonaro ^np+++??+=Bolsonaro.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
persistent ^jj+atrb+++=persistent
capacity ^nn++++=capacity
for ^in++++=for
further ^jjb+atrb+++=further
decline ^nn++++=decline,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
heightened ^jj+atrb++xvbn+=heightened
sense ^nn++++=sense
of ^in++++=of
institutional ^jj+atrb+++=institutional
fragility ^nn+++??+=fragility.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
distinction ^nn++++=distinction
is ^vbz+bez+vrb++=is
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
fear ^nn++++=fear
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
public ^jj+atrb+++=public
servants ^nns++++=servants.
. ^zz++++=EXTRAWORD
Previously ^rb+cnj+++=Previously,
, ^zz++++=EXTRAWORD
concerns ^nns++++=concerns
were ^vbd+bed+aux++=were
mainly ^rb++splt++=mainly
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
professional ^jj+atrb+++=professional
consequences ^nns++++=consequences,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
potential ^jj+atrb+++=potential
loss ^nn++++=loss
of ^in++++=of
senior ^jj+atrb+++=senior
positions ^nns++++=positions
or ^cc++++=or
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
stigmatization ^nn+++??+=stigmatization.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
pronounced ^nn++++=pronounced
fear ^vb++++=fear
of ^in++++=of
actual ^jj+atrb+++=actual
persecution ^nn++++=persecution.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
after ^in++++=after
delivering ^xvbg+++xvbg+=delivering
a ^at++++=a
presentation ^nn++++=presentation
on ^in++++=on
a ^at++++=a
proposed ^jj+atrb++xvbn+=proposed
constitutional ^jj+atrb+++=constitutional
amendment ^nn++++=amendment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interviewee ^nn+++??+=interviewee
was ^vbd+bedz+aux++=was
contacted ^vpsv++by+xvbnx+=contacted
by ^in++++=by
the ^ati++++=the
organizer ^nn+++??+=organizer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
expressed ^vbd+vpub++xvbn+=expressed
concern ^nn++++=concern
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
interviewee ^nn+++??+=interviewee
s ^zz++++=s
critical ^jj+atrb+++=critical
stance ^nn++++=stance
on ^in++++=on
current ^jj+atrb+++=current
fiscal ^jj+atrb+++=fiscal
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interviewee ^nn++++=interviewee
acknowledged ^vbd+vpub++xvbn+=acknowledged
the ^ati++++=the
prevailing ^jj+atrb++xvbg+=prevailing
atmosphere ^nn++++=atmosphere
of ^in++++=of
fear ^nn++++=fear
but ^cc++++=but
also ^rb++++=also
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
continued ^jj+atrb++xvbn+=continued
presence ^nn++++=presence
of ^in++++=of
courage ^nn++++=courage
among ^in++++=among
public ^jj+atrb+++=public
servants ^nns++++=servants
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
51 ^cd++++=51).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
