Biomonitoring ^np+++??+=Biomonitoring
through ^in++++=through
the ^ati++++=the
observation ^nn++++=observation
and ^cc++++=and
calculation ^nn++++=calculation
of ^in++++=of
biological ^jj+atrb+++=biological
indices ^nns++++=indices
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
macroinvertebrates ^nns+++??+=macroinvertebrates
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
efficiency ^nn++++=efficiency
and ^cc++++=and
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
alternative ^nn++++=alternative
to ^in++++=to
conventional ^jj+atrb+++=conventional
water ^nn++++=water
quality ^nn++++=quality
assessments ^nns++++=assessments,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
chemical ^jj++++=chemical
and ^cc++++=and
microbiological ^nn+++??+=microbiological
analyses ^nns++++=analyses
( ^zz++++=(Escarpinati
escarpinati ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
