Comparison ^nn++++=Comparison
with ^in++++=with
the ^ati++++=the
tables ^nns++++=tables
generated ^vwbn+++xvbn+=generated
by ^in++++=by
the ^ati++++=the
site ^nn++++=site
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
seven ^cd++++=seven
of ^in++++=of
the ^ati++++=the
36 ^cd++++=36
indicators ^nns++++=indicators
presented ^vwbn+++xvbn+=presented
in ^in++++=in
the ^ati++++=the
tables ^nns++++=tables
are ^vb+ber+aux++=are
not ^xnot++not++=not
displayed ^vbd+++xvbn+=displayed
in ^in++++=in
the ^ati++++=the
graphical ^jj+atrb+++=graphical
format ^nn++++=format.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
indicators ^nns++++=indicators
are ^vb+ber+vrb++=are:
: ^zz++++=EXTRAWORD
Research ^nn++++=Research
publications ^nns++++=publications
( ^zz++++=(absolute
absolute ^jj+atrb+++=EXTRAWORD
numbers ^nns++++=numbers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Strategic ^jj+atrb+++=Strategic
research ^nn++++=research
partnerships ^nns+++??+=partnerships,
, ^zz++++=EXTRAWORD
Professional ^jj+atrb+++=Professional
publications ^nns++++=publications,
, ^zz++++=EXTRAWORD
Open ^jj+atrb+++=Open
access ^nn++++=access
publications ^nns++++=publications,
, ^zz++++=EXTRAWORD
Patents ^np+++??+=Patents
awarded ^vwbn+++xvbn+=awarded
( ^zz++++=(absolute
absolute ^jj+atrb+++=EXTRAWORD
numbers ^nns++++=numbers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Graduate ^nn++++=Graduate
Companies ^nns++++=companies,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
Regional ^jj+atrb+++=Regional
Publications ^nns++++=publications
With ^in++++=with
Industrial ^jj+atrb+++=industrial
Partners ^nns++++=partners.
 ^zz++++=EXTRAWORD
