Two ^cd++++=Two
general ^jj+atrb+++=general
patterns ^nns++++=patterns
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
and ^cc++++=and
the ^ati++++=the
visual ^jj+atrb+++=visual
elements ^nns++++=elements.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
instances ^nns++++=instances,
, ^zz++++=EXTRAWORD
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
precedes ^vbz++++=precedes
and ^cc+phrs+++=and
introduces ^vbz++++=introduces
the ^ati++++=the
characters ^nns++++=characters
or ^cc++++=or
actions ^nns++++=actions
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
subsequently ^rb+tm+splt++=subsequently
depicted ^vpsv++agls+xvbnx+=depicted
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
page ^nn++++=page,
, ^zz++++=EXTRAWORD
as ^in++++=as
seen ^nn++++=seen
on ^in++++=on
pages ^nns++++=pages
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
14 ^cd++++=14,
, ^zz++++=EXTRAWORD
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
22 ^cd++++=22,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
26 ^cd++++=26.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
cases ^nns++++=cases
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
visual ^jj+atrb+++=visual
action ^nn++++=action
is ^vbz+bez+aux++=is
presented ^vpsv++agls+xvbnx+=presented
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
written ^jj+atrb++xvbn+=written
text ^nn++++=text
that ^tht+rel+subj++=that
explains ^vbz+vpub+++=explains
the ^ati++++=the
action ^nn++++=action
already ^rb++++=already
depicted ^vbd+++xvbn+=depicted;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
pattern ^nn++++=pattern
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
on ^in++++=on
pages ^nns++++=pages
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
17 ^cd++++=17,
, ^zz++++=EXTRAWORD
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
25 ^cd++++=25,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
29 ^cd++++=29.
. ^zz++++=EXTRAWORD
