One ^cd1++++=One
possible ^jj+atrb+++=possible
explanation ^nn++++=explanation
for ^in++++=for
the ^ati++++=the
disparity ^nn+++??+=disparity
in ^in++++=in
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
between ^in++++=between
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
and ^cc++++=and
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
is ^vbz+bez+vrb++=is
the ^ati++++=the
difference ^nn++++=difference
in ^in++++=in
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
hospital ^npl++++=hospital
beds ^nns++++=beds.
. ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
has ^vbz+hvz+vrb++=has
a ^at++++=a
higher ^jjr+atrb+++=higher
number ^nn++++=number
of ^in++++=of
hospital ^npl++++=hospital
beds ^nns++++=beds
per ^nnu++++=per
100,000 ^cd++++=100,000
population ^nn++++=population
compared ^vbd+++xvbn+=compared
to ^in++++=to
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(27.8
27.8 ^cd++++=EXTRAWORD
and ^cc++++=and
23.3 ^cd++++=23.3,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
evaluated ^vwbn+++xvbn+=evaluated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
time ^nn++++=time
between ^in++++=between
diagnosis ^nn++++=diagnosis
and ^cc++++=and
hospitalization ^nn+++??+=hospitalization
was ^vbd+bedz+vrb++=was
similar ^jj+pred+++=similar
in ^in++++=in
both ^abx++++=both
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
5 ^zz++++=5
days ^nns++++=days
( ^zz++++=(5.8
5.8 ^cd++++=EXTRAWORD
days ^nns++++=days
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
janeiro ^np++++=Janeiro
and ^cc++++=and
5.9 ^cd++++=5.9
days ^nns++++=days
in ^in++++=in
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
