Interviews ^nns++++=Interviews
were ^vbd+bed+vrb++=were
analyzed ^nn+++??+=analyzed
using ^vwbg+++xvbg+=using
Nvivo ^np+++??+=NVivo
software ^nn+++??+=software,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
facilitated ^vbd+++xvbn+=facilitated
the ^ati++++=the
coding ^jj+++xvbg+=coding
of ^in++++=of
data ^nns++++=data
and ^cc++++=and
the ^ati++++=the
execution ^nn++++=execution
of ^in++++=of
text ^nn++++=text
queries ^nns++++=queries.
. ^zz++++=EXTRAWORD
The ^ati++++=The
terms ^nns++++=terms
employed ^vbd+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
coding ^jj+++xvbg+=coding
and ^cc++++=and
text ^nn++++=text
query ^nn++++=query
processes ^nns++++=processes
were ^vbd+bed+aux++=were
not ^xnot++not++=not
derived ^vbd+++xvbn+=derived
from ^in++++=from
specific ^jj+atrb+++=specific
interview ^nn++++=interview
questions ^nns++++=questions
but ^cc++++=but
rather ^rb++++=rather
emerged ^vbd+++xvbn+=emerged
from ^in++++=from
themes ^nns++++=themes
spontaneously ^rb++++=spontaneously
introduced ^vpsv++by+xvbn+=introduced
by ^in++++=by
respondents ^nns++++=respondents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coding ^jj+atrb++xvbg+=coding
process ^nn++++=process
subsequently ^rb+tm+++=subsequently
generated ^vbd+++xvbn+=generated
additional ^jj+atrb+++=additional
codes ^nns++++=codes
related ^vbd+++xvbn+=related
to ^in++++=to
career ^nn++++=career
decisions ^nns++++=decisions
and ^cc++++=and
interviewees ^nns++++=interviewees
perceptions ^nns++++=perceptions,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
a ^at++++=a
grounded ^jj+atrb++xvbn+=grounded
theory ^nn++++=theory
approach ^nn++++=approach
( ^zz++++=(Charmaz,
charmaz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
not ^xnot++not++=not
all ^abn++++=all
interviews ^nns++++=interviews
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
fully ^rb+amp+++=fully
transcribed ^jj+++??+=transcribed,
, ^zz++++=EXTRAWORD
interviewer ^nn++++=interviewer
notes ^nns++++=notes
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized
for ^in++++=for
analysis ^nn++++=analysis
in ^in++++=in
cases ^nns++++=cases
where ^wrb+who+++=where
complete ^jj+atrb+++=complete
transcriptions ^nns+++??+=transcriptions
were ^vbd+bed+vrb++=were
unavailable ^jj+pred+++=unavailable.
. ^zz++++=EXTRAWORD
All ^abn++++=All
direct ^jj+atrb+++=direct
quotations ^nns++++=quotations
presented ^vwbn+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper
are ^vb+ber+aux++=are
drawn ^vpsv++agls+xvbnx+=drawn
from ^in++++=from
the ^ati++++=the
41 ^cd++++=41
transcribed ^nn+++??+=transcribed
interviews ^nns++++=interviews
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
translated ^vpsv++agls+xvbn+=translated
from ^in++++=from
portuguese ^nn++++=Portuguese
to ^in++++=to
english ^nn++++=English
by ^in++++=by
the ^ati++++=the
author ^nn++++=author.
. ^zz++++=EXTRAWORD
