To ^in++++=To
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
simultaneously ^rb+tm+splt++=simultaneously
compare ^vbi++++=compare
the ^ati++++=the
time ^nn++++=time
course ^nn++++=course
of ^in++++=of
in ^in++++=in
vitro ^nn+++??+=vitro
plant ^nn++++=plant
development ^nn++++=development
from ^in++++=from
distinct ^jj+atrb+++=distinct
propagules ^nns+++??+=propagules.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
observation ^nn++++=observation
that ^tht+ncmp+++=that
the ^ati++++=the
developmental ^nn+++??+=developmental
process ^nn++++=process
leading ^vwbg+++xvbg+=leading
to ^in++++=to
Ns ^np+++??+=NS
plant ^nn++++=plant
formation ^nn++++=formation
may ^md+pos+++=may
influence ^vb++++=influence
cellular ^jj+atrb+++=cellular
energy ^nn++++=energy
demand ^nn++++=demand
and ^cc++++=and,
, ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
respiration ^nn++++=respiration
activity ^nn++++=activity
differently ^rb++++=differently
compared ^vbd+++xvbn+=compared
to ^in++++=to
seedlings ^nns++++=seedlings.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
both ^abx++++=both
seeds ^nns++++=seeds
and ^cc++++=and
Ns ^np+++??+=NS
plants ^nns++++=plants
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
strobilacea ^nn+++??+=strobilacea
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
producing ^xvbg+++xvbg+=producing
viable ^jj+atrb+++=viable
plants ^nns++++=plants
with ^in++++=with
leaves ^nns++++=leaves
and ^cc++++=and
roots ^nns++++=roots
within ^in++++=within
a ^at++++=a
short ^jj+atrb+++=short
period ^nn++++=period,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
expanding ^jj+++xvbg+=expanding
the ^ati++++=the
potential ^jj+atrb+++=potential
applications ^nns++++=applications
of ^in++++=of
in ^in++++=in
vitro ^nn+++??+=vitro
culture ^nn++++=culture
for ^in++++=for
both ^abx++++=both
conservation ^nn+++??+=conservation
and ^cc++++=and
commercial ^jj+atrb+++=commercial
production ^nn++++=production
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
seeds ^nns++++=seeds
promotes ^vbz++++=promotes
genetic ^jj+atrb+++=genetic
variability ^nn++++=variability,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
advantageous ^jj+pred+++=advantageous
for ^in++++=for
germplasm ^nn+++??+=germplasm
conservation ^nn+++??+=conservation
( ^zz++++=(Pence
pence ^nns++++=EXTRAWORD
2010 ^cd++++=2010),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
shoot ^vb++++=shoot
multiplication ^nn++++=multiplication
in ^in++++=in
Ns ^np+++??+=NS
facilitates ^nns+++??+=facilitates
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
clonal ^nn+++??+=clonal
propagation ^nn++++=propagation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
valuable ^jj+pred+++=valuable
for ^in++++=for
commercial ^jj+atrb+++=commercial
production ^nn++++=production
targeting ^nn+++??+=targeting
the ^ati++++=the
ornamental ^jj+atrb+++=ornamental
plant ^nn++++=plant
market ^nn++++=market
( ^zz++++=(Kyte
kyte ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
