It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
interventions ^nns++++=interventions
primarily ^rb+down+++=primarily
involved ^vbd+++xvbn+=involved
moderate ^jj++++=moderate-intensity
- ^zz++++=EXTRAWORD
intensity ^nn++++=EXTRAWORD
exercise ^nn++++=exercise,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
recommendations ^nns++++=recommendations
of ^in++++=of
Spence ^np++++=Spence
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
advised ^vbd+vpub++xvbn+=advised
at ^rb++++=at
least ^ql++++=least
150 ^cd++++=150
minutes ^nns++++=minutes
of ^in++++=of
physical ^jj+atrb+++=physical
activity ^nn++++=activity
per ^in++++=per
week ^nn++++=week
for ^in++++=for
breast ^nn++++=breast
cancer ^nn++++=cancer
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
as ^in++++=as
implemented ^nn++++=implemented
in ^in++++=in
the ^ati++++=the
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
by ^in++++=by
Ligibel ^np+++??+=Ligibel
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Arem ^np+++??+=Arem
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mijwel ^np+++??+=Mijwel
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
A ^at++++=A
limitation ^nn++++=limitation
identified ^vwbn+++xvbn+=identified
in ^in++++=in
some ^dti++++=some
study ^nn++++=study
protocols ^nns++++=protocols
was ^vbd+bedz+vrb++=was
the ^ati++++=the
insufficient ^jj++++=insufficient
reporting ^jj+++xvbg+=reporting
of ^in++++=of
exercise ^nn++++=exercise
intensity ^nn++++=intensity.
. ^zz++++=EXTRAWORD
Clear ^jj+atrb+++=Clear
specification ^nn++++=specification
of ^in++++=of
exercise ^nn++++=exercise
intensity ^nn++++=intensity
by ^in++++=by
researchers ^nns+++??+=researchers
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
demonstrate ^vbi+vprv+++=demonstrate
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
interventions ^nns++++=interventions
and ^cc++++=and
to ^to++++=to
facilitate ^vbi++++=facilitate
the ^ati++++=the
replication ^nn++++=replication
and ^cc++++=and
implementation ^nn++++=implementation
of ^in++++=of
future ^jjb+atrb+++=future
intervention ^nn++++=intervention
protocols ^nns++++=protocols.
. ^zz++++=EXTRAWORD
