To ^in++++=To
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
previous ^jj+atrb+++=previous
publications ^nns++++=publications
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
objectively ^rb++splt++=objectively
demonstrated ^vprf+++xvbnx+=demonstrated
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
dysautonomia ^nn+++??+=dysautonomia
in ^in++++=in
this ^dt+dem+++=this
patient ^nn++++=patient
population ^nn++++=population
using ^jj+atrb+++=using
measurements ^nns++++=measurements
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
holter ^np++++=Holter
monitoring ^nn++++=monitoring.
. ^zz++++=EXTRAWORD
