Approximately ^rb+down+++=Approximately
3 ^zz++++=3
million ^cd++++=million
paired ^vbd+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
generated ^vpsv++agls+xvbnx+=generated
and ^cc+phrs+++=and
processed ^vbd+++xvbn+=processed
using ^vbg+++xvbg+=using
the ^ati++++=the
ncov2019 ^nn+++??+=ncov2019-artic-nf
- ^zz++++=EXTRAWORD
artic ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
nf ^nn+++??+=EXTRAWORD
pipeline ^nn++++=pipeline
( ^zz++++=(GitHub,
github ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021)
) ^zz++++=EXTRAWORD
with ^in++++=with
default ^nn+++??+=default
parameters ^nns++++=parameters.
. ^zz++++=EXTRAWORD
The ^ati++++=The
resulting ^nn++++=resulting
reconstructed ^vbd+++xvbn+=reconstructed
genome ^nn+++??+=genome,
, ^zz++++=EXTRAWORD
in ^in++++=in
Fasta ^np+++??+=FASTA
format ^nn++++=format,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
subsequently ^rb+tm+++=subsequently
analyzed ^nn+++??+=analyzed
using ^vwbg+++xvbg+=using
the ^ati++++=the
Pangolin ^np+++??+=Pangolin
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
Lineage ^np+++??+=Lineage
Assigner ^np+++??+=Assigner
( ^zz++++=(O
o ^zz++++=EXTRAWORD
Toole ^np+++??+=Toole
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021)
) ^zz++++=EXTRAWORD
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
lineage ^nn++++=lineage
of ^in++++=of
the ^ati++++=the
sequenced ^nn++++=sequenced
virus ^nn++++=virus.
. ^zz++++=EXTRAWORD
