When ^wrb+who+++=When
a ^at++++=a
democratic ^jj+atrb+++=democratic
pluralist ^nn+++??+=pluralist
leader ^nn++++=leader
assumes ^vbz+vprv+++=assumes
office ^nn++++=office,
, ^zz++++=EXTRAWORD
changes ^nns++++=changes
in ^in++++=in
high ^jj++++=high-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
cabinet ^nn++++=cabinet
positions ^nns++++=positions
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
anticipated ^vpsv++agls+xvbnx+=anticipated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adjustments ^nns++++=adjustments
in ^in++++=in
mid ^jjb++++=mid-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
positions ^nns++++=positions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
certain ^jj+atrb+++=certain
institutional ^jj+atrb+++=institutional
reforms ^nns++++=reforms,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+aux++=be
implemented ^vpsv++agls+xvbnx+=implemented
to ^in++++=to
align ^nn+++??+=align
with ^in++++=with
the ^ati++++=the
new ^jj+atrb+++=new
administration ^nn++++=administration
s ^zz++++=s
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
Bolsonaro ^np+++??+=Bolsonaro
s ^zz++++=s
administration ^nn++++=administration
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leadership ^nn++++=leadership
s ^zz++++=s
agenda ^nn++++=agenda
did ^vbd+dod+aux++=did
not ^xnot++not++=not
prioritize ^vb+++??+=prioritize
the ^ati++++=the
federal ^jj+atrb+++=federal
civil ^jj+atrb+++=civil
bureaucracy ^nn++++=bureaucracy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
frequently ^rb++++=frequently
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
administration ^nn++++=administration
as ^ql++++=as
leftist ^vb+++??+=leftist,
, ^zz++++=EXTRAWORD
communist ^jj++++=communist,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
petista ^nn+++??+=petista
( ^zz++++=(a
a ^at++++=EXTRAWORD
term ^nn++++=term
referring ^vwbg+++xvbg+=referring
to ^in++++=to
supporters ^nns++++=supporters
of ^in++++=of
the ^ati++++=the
Workers ^nns++++=Workers
Party ^nn++++=Party,
, ^zz++++=EXTRAWORD
Pt ^nnu++++=PT).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
publicly ^rb++++=publicly
committed ^vbd+++xvbn+=committed
to ^in++++=to
despetizar ^nn+++??+=despetizar
the ^ati++++=the
federal ^jj+atrb+++=federal
government ^nn++++=government,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
intention ^nn++++=intention
to ^to+ncmp+++=to
remove ^vbi++++=remove
individuals ^nns++++=individuals
perceived ^vwbn+vprv++xvbn+=perceived
as ^cs+sub+++=as
affiliated ^jj+++xvbn+=affiliated
with ^in++++=with
the ^ati++++=the
Workers ^nns++++=Workers
Party ^nn++++=Party
from ^in++++=from
government ^nn++++=government
positions ^nns++++=positions.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
during ^in++++=during
a ^at++++=a
2018 ^cd++++=2018
campaign ^nn++++=campaign
rally ^nn++++=rally,
, ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
made ^vbd+++xvbn+=made
a ^at++++=a
statement ^nn++++=statement
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
threatened ^nn++++=threatened
to ^to+ncmp+++=to
take ^vbi++++=take
violent ^jj+atrb+++=violent
action ^nn++++=action
against ^in++++=against
pt ^nnu++++=PT
supporters ^nns++++=supporters.
. ^zz++++=EXTRAWORD
