Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
both ^abx++++=both
teachers ^nns++++=teachers
and ^cc++++=and
students ^nns++++=students
to ^to++++=to
adopt ^vbi++++=adopt
new ^jj+atrb+++=new
conceptual ^jj+atrb+++=conceptual
approaches ^nns++++=approaches
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
move ^vbi++++=move
beyond ^in++++=beyond
traditional ^jj+atrb+++=traditional
educational ^jj+atrb+++=educational
models ^nns++++=models
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
persisted ^vprf+++xvbnx+=persisted
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
integration ^nn++++=integration
of ^in++++=of
teaching ^xvbg+++xvbg+=teaching
strategies ^nns+++??+=strategies
with ^in++++=with
information ^nn++++=information
and ^cc++++=and
communication ^nn++++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
presents ^vbz++++=presents
an ^at++++=an
opportunity ^nn++++=opportunity
to ^to+ncmp+++=to
enhance ^vbi++++=enhance
the ^ati++++=the
flexibility ^nn++++=flexibility
of ^in++++=of
educational ^jj+atrb+++=educational
environments ^nns++++=environments
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
time ^nn++++=time,
, ^zz++++=EXTRAWORD
location ^nn++++=location,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
space ^nn++++=space
( ^zz++++=(Salinas,
salinas ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
