Data ^nns++++=Data
collection ^nn++++=collection
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
offline ^nn+++??+=offline
devices ^nns++++=devices.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
each ^ppls++++=each
day ^np++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
location ^nn++++=location
with ^in++++=with
a ^at++++=a
stable ^nn++++=stable
internet ^nn+++??+=internet
connection ^nn++++=connection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
devices ^nns++++=devices
were ^vbd+bed+aux++=were
synchronized ^vpsv++agls+xvbnx+=synchronized
and ^cc++++=and
the ^ati++++=the
collected ^jj+atrb++xvbn+=collected
data ^nns++++=data
were ^vbd+bed+vrb++=were
uploaded ^nn+++??+=uploaded
to ^in++++=to
the ^ati++++=the
cloud ^nn++++=cloud
storage ^nn++++=storage
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
Datagoal ^np+++??+=DataGoal
software ^nn+++??+=software.
. ^zz++++=EXTRAWORD
The ^ati++++=The
devices ^nns++++=devices
were ^vbd+bed+vrb++=were
subsequently ^rb+tm+++=subsequently
recharged ^nn+++??+=recharged
in ^in++++=in
preparation ^nn++++=preparation
for ^in++++=for
use ^nn++++=use
on ^in++++=on
the ^ati++++=the
following ^jj+atrb+++=following
day ^nn++++=day
of ^in++++=of
data ^nns++++=data
collection ^nn++++=collection.
. ^zz++++=EXTRAWORD
