Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
specific ^jj+atrb+++=specific
vocabularies ^nns++++=vocabularies
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
objectives ^nns++++=objectives
of ^in++++=of
mutual ^jj+atrb+++=mutual
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
an ^at++++=an
approach ^nn++++=approach
to ^in++++=to
linguistic ^jj+atrb+++=linguistic
communities ^nns++++=communities
that ^tht+rel+obj++=that
remains ^nns++++=remains
open ^jj++++=open
to ^in++++=to
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
transcending ^nn+++??+=transcending
its ^pp$+it+++=its
own ^ap++++=own
context ^nn++++=context
should ^md+nec+++=should
inform ^vb++++=inform
all ^rb++++=all
educational ^jj+atrb+++=educational
initiatives ^nns+++??+=initiatives.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Maeve ^np+++??+=Maeve
Cooke ^np+++??+=Cooke
( ^zz++++=(2001,
2001 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
14 ^cd++++=14),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
ongoing ^nn+++??+=ongoing
pursuit ^nn++++=pursuit
by ^in++++=by
citizens ^nns++++=citizens
of ^in++++=of
new ^jj+atrb+++=new
semantic ^jj+atrb+++=semantic
meanings ^nns++++=meanings
that ^tht+rel+subj++=that
exceed ^vb++++=exceed
existing ^vbg+++xvbg+=existing
justifications ^nns+++??+=justifications
is ^vbz+bez+aux++=is
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
a ^at++++=a
recognition ^nn++++=recognition
of ^in++++=of
the ^ati++++=the
resistance ^nn++++=resistance
of ^in++++=of
reality ^nn++++=reality
to ^to++++=to
complete ^vbi++++=complete
conceptual ^jj+atrb+++=conceptual
capture ^nn++++=capture.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
resistance ^nn++++=resistance
motivates ^nns+++??+=motivates
efforts ^nns++++=efforts
toward ^in++++=toward
semantic ^jj+atrb+++=semantic
and ^cc+phrs+++=and
normative ^jj+atrb++??+=normative
innovation ^nn++++=innovation,
, ^zz++++=EXTRAWORD
undertaken ^xvbn+++xvbn+=undertaken
by ^in++++=by
citizens ^nns++++=citizens
to ^to++++=to
achieve ^vbi++++=achieve
a ^at++++=a
more ^rbr++++=more
comprehensive ^jj+atrb+++=comprehensive
conception ^nn++++=conception
of ^in++++=of
social ^jj+atrb+++=social
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
a ^at++++=a
purely ^rb++++=purely
epistemic ^nn+++??+=epistemic
account ^nn++++=account
of ^in++++=of
moral ^jj+atrb+++=moral
validity ^nn++++=validity
is ^vbz+bez+vrb++=is
insufficient ^jj+pred+++=insufficient
to ^to+jcmp+++=to
justify ^vbi++++=justify
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
context ^nn++++=context-transcendent
- ^zz++++=EXTRAWORD
transcendent ^jj+atrb+++=EXTRAWORD
reasons ^nns++++=reasons
through ^in++++=through
processes ^nns++++=processes
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning
exchange ^nn++++=exchange
with ^in++++=with
individuals ^nns++++=individuals
from ^in++++=from
diverse ^jj+atrb+++=diverse
cultural ^jj+atrb+++=cultural
backgrounds ^nns++++=backgrounds.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
the ^ati++++=the
invocation ^nn+++??+=invocation
of ^in++++=of
various ^jj+atrb+++=various
historical ^jj+atrb+++=historical
and ^cc+phrs+++=and
religious ^jj+atrb+++=religious
narratives ^nns++++=narratives
should ^md+nec+++=should
serve ^vb++++=serve
not ^xnot++not++=not
as ^in++++=as
an ^at++++=an
end ^nn++++=end
in ^in++++=in
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
a ^at++++=a
means ^nn++++=means
to ^to++++=to
facilitate ^vbi++++=facilitate
the ^ati++++=the
intersubjective ^nn+++??+=intersubjective
reconstruction ^nn++++=reconstruction
of ^in++++=of
scientific ^jj+atrb+++=scientific
and ^cc+phrs+++=and
moral ^jj+atrb+++=moral
validity ^nn++++=validity
claims ^nns++++=claims.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
reconstruction ^nn++++=reconstruction
is ^vbz+bez+vrb++=is
oriented ^nn+++??+=oriented
toward ^in++++=toward
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
outcomes ^nns+++??+=outcomes
of ^in++++=of
moral ^jj+atrb+++=moral
deliberation ^nn++++=deliberation
should ^md+nec+++=should
enable ^vb++++=enable
changes ^nns++++=changes
in ^in++++=in
perspectives ^nns++++=perspectives,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
different ^jj+atrb+++=different
cultures ^nns++++=cultures
into ^in++++=into
a ^at++++=a
broader ^jjr+atrb+++=broader
political ^jj+atrb+++=political
unity ^nn++++=unity.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
ethical ^jj+atrb+++=ethical
norms ^nns++++=norms
and ^cc++++=and
conceptions ^nns++++=conceptions
of ^in++++=of
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
contribute ^vb++++=contribute
to ^to++++=to
shaping ^vbg+++xvbg+=shaping
the ^ati++++=the
public ^jj+atrb+++=public
sphere ^nn++++=sphere
by ^in++++=by
fostering ^nn+++??+=fostering
collective ^jj+atrb+++=collective
values ^nns++++=values,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
involve ^vb++++=involve
advancing ^jj+++xvbg+=advancing
or ^cc+phrs+++=or
revising ^jj+++xvbg+=revising
their ^pp$+pp3+++=their
particular ^jj++++=particular
cultural ^jj++++=cultural
or ^cc+phrs+++=or
religious ^jj+atrb+++=religious
moral ^jj+atrb+++=moral
perspectives ^nns++++=perspectives
within ^in++++=within
deliberative ^nn++++=deliberative
processes ^nns++++=processes.
. ^zz++++=EXTRAWORD
