Baroreflex ^np+++??+=Baroreflex
function ^nn++++=function
can ^md+pos+++=can
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
through ^in++++=through
time ^nn++++=time-domain
- ^zz++++=EXTRAWORD
domain ^nn++++=EXTRAWORD
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
includes ^vb++++=includes
measures ^nns++++=measures
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
mean ^nn++++=mean
of ^in++++=of
Rr ^np+++??+=RR
intervals ^nns++++=intervals,
, ^zz++++=EXTRAWORD
standard ^jj+atrb+++=standard
deviation ^nn++++=deviation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
root ^nn++++=root
mean ^jj+atrb+++=mean
square ^nn++++=square
of ^in++++=of
successive ^jj+atrb+++=successive
differences ^nns++++=differences
( ^zz++++=(RMSSD).
rmssd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
heart ^nn++++=heart
rate ^nn++++=rate
variability ^nn++++=variability
can ^md+pos+++=can
be ^vb+be+vrb++=be
analyzed ^nn+++??+=analyzed
in ^in++++=in
the ^ati++++=the
frequency ^nn++++=frequency
domain ^nn++++=domain
using ^vwbg+++xvbg+=using
the ^ati++++=the
Fourier ^np++++=Fourier
transform ^vb++++=transform,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
provides ^vbz+vsua+++=provides
valuable ^jj+atrb+++=valuable
information ^nn++++=information.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
yields ^nns++++=yields
the ^ati++++=the
low ^jj++++=low-frequency
- ^zz++++=EXTRAWORD
frequency ^nn++++=EXTRAWORD
( ^zz++++=(LF)
lf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
high ^jj++++=high-frequency
- ^zz++++=EXTRAWORD
frequency ^nn++++=EXTRAWORD
( ^zz++++=(HF)
hf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
indices ^nns++++=indices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ratio ^nn++++=ratio
of ^in++++=of
Lf ^np+++??+=LF
to ^in++++=to
Hf ^np+++??+=HF
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
used ^vpsv++++=used
to ^to++++=to
represent ^vb++++=represent
the ^ati++++=the
balance ^nn++++=balance
between ^in++++=between
sympathetic ^jj++++=sympathetic
and ^cc++++=and
parasympathetic ^nn++++=parasympathetic
( ^zz++++=(vagal)
vagal ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
