Figure ^nn++++=Figure
5 ^zz++++=5
presents ^vbz++++=presents
a ^at++++=a
comparison ^nn++++=comparison
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Icu ^np+++??+=ICU
beds ^nns++++=beds
occupied ^vwbn+++xvbn+=occupied
by ^in++++=by
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
positive ^jj+atrb+++=positive
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
the ^ati++++=the
Critical ^jj+atrb+++=Critical
Units ^nns++++=Units
Monitoring ^vwbg+++xvbg+=Monitoring
Program ^np+++??+=Program
( ^zz++++=(Programa
programa ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Monitoreo ^np+++??+=Monitoreo
de ^&fw++++=de
Unidades ^np+++??+=Unidades
Cr ^&fo++++=Cr
ticas ^nns+++??+=ticas,
, ^zz++++=EXTRAWORD
Pmuc ^np+++??+=PMUC)
) ^zz++++=EXTRAWORD
of ^in++++=of
Entre ^&fw++++=Entre
R ^zz++++=R
os ^nns+++??+=os
province ^nn++++=province
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
estimates ^nns++++=estimates
generated ^vwbn+++xvbn+=generated
by ^in++++=by
the ^ati++++=the
model ^nn++++=model.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
information ^nn++++=information
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
anticipating ^xvbg+++xvbg+=anticipating
potential ^jj+atrb+++=potential
strain ^nn++++=strain
on ^in++++=on
the ^ati++++=the
local ^jj+atrb+++=local
healthcare ^nn+++??+=healthcare
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
set ^vbd+++xvbn+=set
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
reliable ^jj++++=reliable,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
real ^jj++++=real-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
observations ^nns++++=observations
with ^in++++=with
a ^at++++=a
high ^jj+atrb+++=high
degree ^nn++++=degree
of ^in++++=of
accuracy ^nn++++=accuracy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
figure ^nn++++=figure
demonstrates ^vbz+vpub+++=demonstrates
that ^tht+vcmp+++=that
the ^ati++++=the
weekly ^jj+atrb+++=weekly
reports ^nns++++=reports
of ^in++++=of
Icu ^np+++??+=ICU
bed ^nn++++=bed
occupancy ^nn+++??+=occupancy
by ^in++++=by
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
patients ^nns++++=patients
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
values ^nns++++=values
produced ^vbd+++xvbn+=produced
by ^in++++=by
the ^ati++++=the
model ^nn++++=model.
. ^zz++++=EXTRAWORD
