I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
primarily ^rb+down+++=primarily
responsible ^jj+pred+++=responsible
for ^in++++=for
addressing ^xvbg+++xvbg+=addressing
human ^jj+atrb+++=human
resources ^nns++++=resources
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
decisions ^nns++++=decisions
regarding ^in++++=regarding
the ^ati++++=the
training ^nn++++=training
of ^in++++=of
civil ^jj+atrb+++=civil
servants ^nns++++=servants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
managing ^jj+++xvbg+=managing
various ^jj+atrb+++=various
bureaucratic ^jj+atrb+++=bureaucratic
and ^cc+phrs+++=and
administrative ^jj+atrb+++=administrative
matters ^nns++++=matters
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
9 ^zz++++=9).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
