To ^in++++=To
categorize ^jj+atrb++??+=categorize
buildings ^nns++++=buildings
as ^in++++=as
residential ^jj++++=residential,
, ^zz++++=EXTRAWORD
commercial ^jj++++=commercial,
, ^zz++++=EXTRAWORD
recreational ^jj++++=recreational,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
types ^nns++++=types,
, ^zz++++=EXTRAWORD
city ^nn++++=city
grid ^nn++++=grid
maps ^nns++++=maps
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
the ^ati++++=the
Paran ^np+++??+=Paran
Municipality ^nn++++=Municipality
Land ^nn++++=Land
Registry ^nn++++=Registry
Office ^nn++++=Office
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized.
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
data ^nns++++=data
sources ^nns++++=sources
included ^vbd+++xvbn+=included
Google ^np+++??+=Google
Maps ^nns++++=Maps
and ^cc++++=and
Google ^np+++??+=Google
Places ^nns++++=Places
, ^zz++++=,
which ^whp+rel+subj++=which
facilitated ^vbd+++xvbn+=facilitated
the ^ati++++=the
initial ^jj+atrb+++=initial
mapping ^nn++++=mapping
of ^in++++=of
various ^jj+atrb+++=various
city ^nn++++=city
areas ^nns++++=areas
under ^in++++=under
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
an ^at++++=an
on ^in++++=on-site
- ^zz++++=EXTRAWORD
site ^nn++++=EXTRAWORD
visual ^jj+atrb+++=visual
inspection ^nn++++=inspection
of ^in++++=of
the ^ati++++=the
plots ^nns++++=plots
and ^cc++++=and
their ^pp$+pp3+++=their
corresponding ^jj+atrb++xvbg+=corresponding
labels ^nns++++=labels
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
verify ^vbi+vpub+++=verify
the ^ati++++=the
accuracy ^nn++++=accuracy
of ^in++++=of
the ^ati++++=the
information ^nn++++=information
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
these ^dt+dem+++=these
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
Gps ^np+++??+=GPS-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
tracking ^vbg+++xvbg+=tracking
tools ^nns++++=tools
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
field ^nn++++=field
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
the ^ati++++=the
completion ^nn++++=completion
of ^in++++=of
the ^ati++++=the
Gis ^np+++??+=GIS
map ^nn++++=map.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
system ^nn++++=system
initialization ^nn+++??+=initialization
routine ^jj++++=routine,
, ^zz++++=EXTRAWORD
each ^dt++++=each
hectare ^nn+++??+=hectare
( ^zz++++=(Ha)
ha ^uh++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
assigned ^vpsv++agls+xvbnx+=assigned
attributes ^nns++++=attributes
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
submodel ^nn+++??+=submodel,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
populating ^vb+++??+=populating
the ^ati++++=the
entire ^nn++++=entire
map ^vb++++=map
with ^in++++=with
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
human ^jj+atrb+++=human
agents ^nns++++=agents
corresponding ^jj++++=corresponding
to ^in++++=to
each ^ppls++++=each
plot ^np++++=plot
of ^in++++=of
land ^nn++++=land.
. ^zz++++=EXTRAWORD
