By ^in++++=By
June ^nr++++=June
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
reported ^vbn+vpub++xvbn+=reported
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
was ^vbd+bedz+vrb++=was
five ^cd++++=five
times ^nns++++=times
higher ^jjr++++=higher
than ^cs+sub+++=than
that ^dt+pdem+++=that
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
population ^nn++++=population
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
is ^vbz+bez+vrb++=is
approximately ^rb+down+++=approximately
2.6 ^cd++++=2.6
times ^nns++++=times
larger ^jjr++++=larger
( ^zz++++=(about
about ^in++++=EXTRAWORD
44 ^cd++++=44
million ^cd++++=million
compared ^vbd+++xvbn+=compared
to ^to++++=to
17 ^cd++++=17
million ^cd++++=million
inhabitants ^nns++++=inhabitants).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
a ^at++++=a
comparative ^jj+atrb+++=comparative
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
states ^nns++++=states
and ^cc++++=and
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
capitals ^nns++++=capitals
regarding ^in++++=regarding
the ^ati++++=the
characteristics ^nns++++=characteristics
and ^cc++++=and
progression ^nn++++=progression
of ^in++++=of
hospitalized ^nn+++??+=hospitalized
patients ^nns++++=patients
and ^cc++++=and
Covid ^np+++??+=COVID-19-related
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
deaths ^nns++++=deaths
may ^md+pos+++=may
provide ^vb+vsua+++=provide
insights ^nns++++=insights
into ^in++++=into
the ^ati++++=the
elevated ^jj+atrb++xvbn+=elevated
mortality ^nn++++=mortality
rates ^nns++++=rates
observed ^jj++++=observed
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
rio ^np++++=Rio
de ^&fw++++=de
janeiro ^np++++=Janeiro.
. ^zz++++=EXTRAWORD
