Following ^jj+++xvbg+=Following
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
relevant ^jj+atrb+++=relevant
studies ^nns++++=studies
for ^in++++=for
inclusion ^nn++++=inclusion
in ^in++++=in
this ^dt+dem+++=this
scoping ^nn+++??+=scoping
review ^nn++++=review,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
that ^dt+pdem+++=that
examined ^vbd+++xvbn+=examined
physical ^jj+atrb+++=physical
activity ^nn++++=activity
and ^cc++++=and/or
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise
protocols ^nns++++=protocols
for ^in++++=for
the ^ati++++=the
treatment ^nn++++=treatment
and ^cc++++=and
post ^nn++++=post-treatment
- ^zz++++=EXTRAWORD
treatment ^nn++++=EXTRAWORD
of ^in++++=of
women ^nns++++=women
with ^in++++=with
breast ^nn++++=breast
cancer ^nn++++=cancer
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
variables ^nns++++=variables
investigated ^vbd+++xvbn+=investigated
included ^vbd+++xvbn+=included
study ^nn++++=study
protocols ^nns++++=protocols,
, ^zz++++=EXTRAWORD
breast ^nn++++=breast
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
physical ^jj+atrb+++=physical
activity ^nn++++=activity
and ^cc++++=and/or
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise.
. ^zz++++=EXTRAWORD
