At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
a ^at++++=a
previously ^rb+tm+++=previously
unidentified ^nn+++??+=unidentified
coronavirus ^nns+++??+=coronavirus
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
Wuhan ^np+++??+=Wuhan,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
atypical ^jj+atrb+++=atypical
characteristics ^nns++++=characteristics
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
spreading ^vbg+++xvbg+=spreading
globally ^nn+++??+=globally.
. ^zz++++=EXTRAWORD
Owing ^in+cmpx+++=Owing
to ^in"++++=to
its ^pp$+it+++=its
predominant ^jj+atrb+++=predominant
pulmonary ^nn+++??+=pulmonary
involvement ^nn++++=involvement
in ^in++++=in
severe ^jj+atrb+++=severe
cases ^nns++++=cases
and ^cc++++=and
its ^pp$+it+++=its
genetic ^jj+atrb+++=genetic
and ^cc+phrs+++=and
clinical ^jj+atrb+++=clinical
similarities ^nns++++=similarities
to ^in++++=to
the ^ati++++=the
virus ^nn++++=virus
responsible ^jj++++=responsible
for ^in++++=for
the ^ati++++=the
2003 ^cd++++=2003
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
designated ^vpsv++agls+xvbnx+=designated
as ^ql++++=as
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
coronavirus ^nns+++??+=coronavirus
2 ^zz++++=2
( ^zz++++=(SARS-CoV-2),
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
associated ^jj+atrb+++=associated
disease ^nn++++=disease
was ^vbd+bedz+aux++=was
named ^xvbn+++xvbn+=named
coronavirus ^nns++++=coronavirus
disease ^nn++++=disease
2019 ^cd++++=2019
( ^zz++++=(COVID-19).
covid ^nn++++=EXTRAWORD
-19). ^nn++++=EXTRAWORD
