Within ^in++++=Within
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
addresses ^nns++++=addresses
the ^ati++++=the
following ^jj+atrb++xvbg+=following
specific ^jj+atrb+++=specific
questions ^nns++++=questions:
: ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
does ^vbz+doz+aux++=does
the ^ati++++=the
bureaucracy ^nn++++=bureaucracy
respond ^vb++++=respond
to ^in++++=to
an ^at++++=an
administration ^nn++++=administration
characterized ^nn+++??+=characterized
by ^in++++=by
illiberal ^jj+atrb+++=illiberal
populism ^nn+++??+=populism?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
these ^dt+dem+++=these
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
influence ^nn++++=influence
processes ^nns++++=processes
of ^in++++=of
policy ^nn++++=policy
dismantling ^nn++++=dismantling?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
does ^vbz+doz+aux++=does
the ^ati++++=the
bureaucracy ^nn++++=bureaucracy
contribute ^vb++++=contribute
to ^to++++=to
distinguishing ^vbg+++xvbg+=distinguishing
between ^in++++=between
ordinary ^jj+atrb+++=ordinary
policy ^nn++++=policy
change ^nn++++=change
and ^cc++++=and
policy ^nn++++=policy
dismantling ^nn++++=dismantling?
? ^zz++++=EXTRAWORD
The ^ati++++=The
bureaucracy ^nn++++=bureaucracy
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
openly ^rb++++=openly
resist ^vb++++=resist
or ^cc++++=or
act ^nn++++=act
to ^to++++=to
limit ^vbi++++=limit
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
policy ^nn++++=policy
dismantling ^nn++++=dismantling,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
Guedes ^np+++??+=Guedes-Neto
- ^zz++++=EXTRAWORD
neto ^nn+++??+=EXTRAWORD
and ^cc++++=and
Peters ^np++++=Peters
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
experimental ^jj+atrb+++=experimental
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
bureaucrats ^nns++++=bureaucrats
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
