Although ^cs+con+++=Although
previous ^jj+atrb+++=previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
mapped ^vprf+++xvbnx+=mapped
research ^nn++++=research
on ^in++++=on
translation ^nn++++=translation
studies ^nns++++=studies
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
gaps ^nns++++=gaps
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
because ^cs+cos+++=because
earlier ^jjr+atrb+++=earlier
research ^nn++++=research
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
contemporary ^jj+atrb+++=contemporary
tools ^nns++++=tools
such ^abl++++=such
as ^ql++++=as
digital ^jj+atrb+++=digital
repositories ^nns+++??+=repositories
due ^jj++++=due
to ^in+jcmp+++=to
technological ^jj+atrb+++=technological
limitations ^nns++++=limitations.
. ^zz++++=EXTRAWORD
Notable ^jj+atrb+++=Notable
examples ^nns++++=examples
of ^in++++=of
such ^abl++++=such
studies ^nns++++=studies
include ^vb++++=include
Pagano ^np+++??+=Pagano
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2003)
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Alves ^np+++??+=Alves
and ^cc++++=and
Vasconcellos ^np+++??+=Vasconcellos
( ^zz++++=(2016).
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
paper ^nn++++=paper
addresses ^nns++++=addresses
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
gaps ^nns++++=gaps
by ^in++++=by
employing ^xvbg+++xvbg+=employing
a ^at++++=a
methodology ^nn++++=methodology
that ^tht+rel+subj++=that
enables ^vbz++++=enables
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
research ^nn++++=research
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
trends ^nns++++=trends,
, ^zz++++=EXTRAWORD
research ^nn++++=research
centers ^nns+++??+=centers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
key ^jjb+atrb+++=key
researchers ^nns+++??+=researchers,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
by ^in++++=by
examining ^xvbg+++xvbg+=examining
sources ^nns++++=sources
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbn+=been
underexplored ^nn++++=underexplored
or ^cc++++=or
previously ^rb+tm+++=previously
unexplored ^nn++++=unexplored
in ^in++++=in
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
