By ^in++++=By
rejecting ^xvbg+++xvbg+=rejecting
the ^ati++++=the
ability ^nn++++=ability
of ^in++++=of
rational ^jj+atrb+++=rational
agents ^nns++++=agents
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
truth ^nn++++=truth
claims ^nns++++=claims
of ^in++++=of
religious ^jj+atrb+++=religious
propositions ^nns++++=propositions,
, ^zz++++=EXTRAWORD
Erricker ^np+++??+=Erricker
introduces ^vbz++++=introduces
a ^at++++=a
significant ^jj+atrb+++=significant
degree ^nn++++=degree
of ^in++++=of
pragmatism ^nn+++??+=pragmatism
into ^in++++=into
his ^pp$+pp3+++=his
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
truth ^nn++++=truth
is ^vbz+bez+aux++=is
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
the ^ati++++=the
educational ^jj+atrb+++=educational
process ^nn++++=process,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
diminishes ^vbz++++=diminishes
religion ^nn++++=religion
s ^zz++++=s
potential ^nn++++=potential
to ^to+ncmp+++=to
foster ^vbi++++=foster
a ^at++++=a
collective ^jj+atrb+++=collective
sense ^nn++++=sense
of ^in++++=of
justice ^nn++++=justice
and ^cc++++=and
solidarity ^nn++++=solidarity
through ^in++++=through
shared ^vbd+++xvbn+=shared
ethical ^jj+atrb+++=ethical
understandings ^nns++++=understandings.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
moral ^jj+atrb+++=moral
inquiry ^nn++++=inquiry
loses ^vbz++++=loses
its ^pp$+it+++=its
transcendental ^nn+++??+=transcendental
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
critical ^jj+atrb+++=critical
function ^nn++++=function
of ^in++++=of
normative ^nn+++??+=normative
discourse ^nn++++=discourse
is ^vbz+bez+aux++=is
replaced ^vpsv++by+xvbnx+=replaced
by ^in++++=by
a ^at++++=a
form ^nn++++=form
of ^in++++=of
utilitarian ^jj+atrb+++=utilitarian
particularism ^nn+++??+=particularism
in ^in++++=in
which ^whp+rel+pied++=which
individual ^jj+atrb+++=individual
preferences ^nns++++=preferences
determine ^vb++++=determine
validity ^nn++++=validity
based ^vwbn+++xvbn+=based
on ^in++++=on
personal ^jj+atrb+++=personal
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
communal ^jj+atrb+++=communal
level ^nn++++=level,
, ^zz++++=EXTRAWORD
political ^jj+atrb+++=political
compromises ^nns+++??+=compromises
are ^vb+ber+aux++=are
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
manage ^vbi++++=manage
conflicts ^nns++++=conflicts
of ^in++++=of
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
these ^dt+pdem+++=these
are ^vb+ber+aux++=are
pursued ^vwbn+++xvbn+=pursued
without ^in++++=without
reference ^nn++++=reference
to ^in++++=to
any ^dti++++=any
overarching ^nn++++=overarching
normative ^nn++++=normative
resolution ^nn++++=resolution.
. ^zz++++=EXTRAWORD
