Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
substantial ^jj+atrb+++=substantial
availability ^nn++++=availability
of ^in++++=of
educational ^jj+atrb+++=educational
resources ^nns++++=resources
including ^in++++=including
videos ^nns+++??+=videos,
, ^zz++++=EXTRAWORD
animations ^nns+++??+=animations,
, ^zz++++=EXTRAWORD
podcasts ^nns+++??+=podcasts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
documents ^nns++++=documents
accessible ^jj++++=accessible
through ^in++++=through
various ^jj+atrb+++=various
repositories ^nns+++??+=repositories
and ^cc++++=and
Massive ^jj+atrb+++=Massive
Open ^jj+atrb+++=Open
Online ^np+++??+=Online
Courses ^nns++++=Courses
( ^zz++++=(MOOCs),
moocs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+aux++=are
endorsed ^vpsv++by+xvbnx+=endorsed
by ^in++++=by
leading ^xvbg+++xvbg+=leading
higher ^jjr+atrb+++=higher
education ^nn++++=education
institutions ^nns++++=institutions
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching
in ^in++++=in
the ^ati++++=the
contemporary ^jj+atrb+++=contemporary
knowledge ^nn++++=knowledge
society ^nn++++=society
requires ^vbz++++=requires
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
not ^xnot++not++=not
only ^rb+down+++=only
didactic ^vb+++??+=didactic
and ^cc++++=and
pedagogical ^jj+atrb+++=pedagogical
competencies ^nns+++??+=competencies
but ^cc++++=but
also ^rb++++=also
digital ^jj+atrb+++=digital
skills ^nns++++=skills
to ^in++++=to
address ^nn++++=address
the ^ati++++=the
challenges ^nn++++=challenges
associated ^vbd+++xvbn+=associated
with ^in++++=with
being ^xvbg+++xvbg+=being
an ^at++++=an
educator ^nn+++??+=educator
in ^in++++=in
the ^ati++++=the
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
century ^nn++++=century
( ^zz++++=(Guimar
guimar ^nn+++??+=EXTRAWORD
es ^&fw++++=es,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
sabalete ^np++++=Sabalete
& ^zz++++=&
roblizo ^np++++=Roblizo,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
