Demonstrating ^vbg+++xvbg+=Demonstrating
physical ^jj+atrb+++=physical
contact ^nn++++=contact
or ^cc++++=or
expressing ^jj+atrb++xvbg+=expressing
affection ^nn++++=affection
is ^vbz+bez+aux++=is
linked ^vpsv++agls+xvbnx+=linked
to ^to++++=to
emerging ^vbi++++=emerging
forms ^nns++++=forms
of ^in++++=of
masculinity ^nn++++=masculinity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
promotion ^nn++++=promotion
of ^in++++=of
egalitarian ^jj+atrb+++=egalitarian
masculinity ^nn++++=masculinity
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
new ^jj+atrb+++=new
family ^nn++++=family
models ^nns++++=models
that ^tht+rel+subj++=that
diverge ^vb++++=diverge
from ^in++++=from
the ^ati++++=the
traditional ^jj+atrb+++=traditional
model ^nn++++=model
of ^in++++=of
hegemonic ^nn+++??+=hegemonic
masculinity ^nn++++=masculinity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
frequently ^rb++++=frequently
characterized ^jj+atrb++??+=characterized
conventional ^jj+atrb+++=conventional
heterosexual ^jj+atrb+++=heterosexual
families ^nns++++=families.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conceptualization ^nn+++??+=conceptualization
and ^cc++++=and
representation ^nn++++=representation
of ^in++++=of
these ^dt+dem+++=these
new ^jj+atrb+++=new
masculinities ^nns+++??+=masculinities,
, ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
heterosexual ^jj+atrb+++=heterosexual
and ^cc+phrs+++=and
homosexual ^jj+atrb+++=homosexual
couples ^nns++++=couples,
, ^zz++++=EXTRAWORD
present ^vb++++=present
a ^at++++=a
challenge ^nn++++=challenge
to ^in++++=to
the ^ati++++=the
patriarchal ^jj+atrb+++=patriarchal
system ^nn++++=system,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
fundamentally ^rb++splt++=fundamentally
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
a ^at++++=a
social ^jj+atrb+++=social
structure ^nn++++=structure
that ^tht+rel+obj++=that
allocates ^nns+++??+=allocates
greater ^jjr+atrb+++=greater
power ^nn++++=power
and ^cc++++=and
privileges ^nns++++=privileges
to ^in++++=to
men ^nns++++=men
and ^cc++++=and
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
an ^at++++=an
ideology ^nn++++=ideology
that ^tht+rel+obj++=that
legitimizes ^nns++++=legitimizes
this ^dt+dem+++=this
arrangement ^nn++++=arrangement.
. ^zz++++=EXTRAWORD
