Given ^vbd+++xvbn+=Given
the ^ati++++=the
current ^jj+atrb+++=current
context ^nn++++=context
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
agendas ^nns++++=agendas
I ^pp1a+pp1+++=I
previously ^rb+tm+++=previously
supported ^vbd+++xvbn+=supported
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
undermined ^vbd+++xvbn+=undermined,
, ^zz++++=EXTRAWORD
the ^ati++++=the
decision ^nn++++=decision
to ^to+ncmp+++=to
leave ^vbi++++=leave
both ^abx++++=both
the ^ati++++=the
government ^nn++++=government
and ^cc++++=and
the ^ati++++=the
country ^nn++++=country
was ^vbd+bedz+vrb++=was
straightforward ^jj+pred+++=straightforward.
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
to ^in++++=to
Brazil ^np++++=Brazil
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
viable ^jj+atrb+++=viable
option ^nn++++=option,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
is ^vbz+bez+aux++=is
returning ^vbg+++xvbg+=returning
to ^in++++=to
government ^nn++++=government
service ^nn++++=service
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
