Up ^in+cmpx+++=Up
to ^in"++++=to
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=EXTRAWORD
page ^nn++++=page
20 ^cd++++=20
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^ap+down+++=only
instance ^nn++++=instance
in ^in++++=in
which ^whp+rel+pied++=which
Daddy ^npt++++=Daddy
is ^vbz+bez+aux++=is
depicted ^vpsv++agls+xvbnx+=depicted
in ^in++++=in
the ^ati++++=the
illustration ^nn++++=illustration
performing ^vwbg+++xvbg+=performing
an ^at++++=an
activity ^nn++++=activity
with ^in++++=with
Emily ^np+++??+=Emily;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
the ^ati++++=the
background ^nn++++=background
fishing ^vwbg+++xvbg+=fishing
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
following ^jj+atrb++xvbg+=following
page ^nn++++=page,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
is ^vbz+bez+aux++=is
depicted ^vpsv++agls+xvbnx+=depicted
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
a ^at++++=a
bench ^nn++++=bench
with ^in++++=with
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
observing ^vbg+vprv++xvbg+=observing
Emily ^np+++??+=Emily
and ^cc++++=and
Daddy ^npt++++=Daddy
as ^ql++++=as
they ^pp3a+pp3+++=they
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
written ^jj+atrb++xvbn+=written
text ^nn++++=text
appears ^vbz+seem+++=appears
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
page ^nn++++=page,
, ^zz++++=EXTRAWORD
positioned ^xvbn+++xvbn+=positioned
in ^in++++=in
the ^ati++++=the
foreground ^nn++++=foreground
immediately ^rb+tm+++=immediately
after ^in++++=after
the ^ati++++=the
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
also ^rb++++=also
present ^jj+pred+++=present
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
illustration ^nn++++=illustration.
. ^zz++++=EXTRAWORD
