Data ^nns++++=Data
on ^in++++=on
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
disaggregated ^nn+++??+=disaggregated
by ^in++++=by
age ^nn++++=age
group ^nn++++=group
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
and ^cc++++=and
not ^xnot++not++=not
readily ^rb++++=readily
accessible ^jj++++=accessible.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presentation ^nn++++=presentation
of ^in++++=of
age ^nn++++=age-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
within ^in++++=within
a ^at++++=a
single ^jj+atrb+++=single
publication ^nn++++=publication
constitutes ^vbz++++=constitutes
a ^at++++=a
significant ^jj+atrb+++=significant
contribution ^nn++++=contribution
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
paragraphs ^nns++++=paragraphs
outline ^vb++++=outline
the ^ati++++=the
process ^nn++++=process
undertaken ^vwbn+++xvbn+=undertaken
to ^to++++=to
collect ^vbi++++=collect
and ^cc+phrs+++=and
organize ^vb++++=organize
these ^dt+dem+++=these
data ^nns++++=data.
. ^zz++++=EXTRAWORD
the ^ati++++=The
data ^nns++++=data
sources ^nns++++=sources
are ^vb+ber+aux++=are
specified ^vbn+vsua+++=specified
in ^in++++=in
chart ^nn++++=Chart
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
