When ^wrb+who+++=When
comparisons ^nns++++=comparisons
between ^in++++=between
locations ^nns++++=locations
are ^vb+ber+vrb++=are
a ^at++++=a
central ^jj+atrb+++=central
component ^nn++++=component
of ^in++++=of
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
differences ^nns++++=differences
in ^in++++=in
population ^nn++++=population
size ^nn++++=size
necessitate ^vb++++=necessitate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
population ^nn++++=population-adjusted
- ^zz++++=EXTRAWORD
adjusted ^xvbn+++xvbn+=EXTRAWORD
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
Deaths ^nns++++=Deaths
per ^nnu++++=per
capita ^nn+++??+=capita
typically ^rb++++=typically
expressed ^vbd+vpub++xvbn+=expressed
per ^nnu++++=per
100,000 ^cd++++=100,000
or ^cc++++=or
1 ^zz++++=1
million ^cd++++=million
inhabitants ^nns++++=inhabitants
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
employed ^vpsv++agls+xvbnx+=employed
for ^in++++=for
this ^dt+dem+++=this
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
indicators ^nns++++=indicators
may ^md+pos+++=may
introduce ^vb++++=introduce
significant ^jj+atrb+++=significant
biases ^nns+++??+=biases
if ^cs+cnd+++=if
the ^ati++++=the
populations ^nns++++=populations
being ^xvbg+++xvbg+=being
compared ^xvbn+++xvbn+=compared
are ^vb+ber+aux++=are
exposed ^vpsv++agls+xvbnx+=exposed
to ^to++++=to
varying ^vbg+++xvbg+=varying
risks ^nns++++=risks
of ^in++++=of
developing ^xvbg+++xvbg+=developing
severe ^jj+atrb+++=severe
forms ^nns++++=forms
of ^in++++=of
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
due ^jj++++=due
to ^to+jcmp+++=to
pre ^vb+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=EXTRAWORD
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
comorbidities ^nns+++??+=comorbidities
and ^cc++++=and
the ^ati++++=the
demographic ^jj+atrb+++=demographic
composition ^nn++++=composition
of ^in++++=of
the ^ati++++=the
population ^nn++++=population,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
sex ^nn++++=sex
and ^cc++++=and
age ^nn++++=age,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
influential ^jj+atrb+++=influential
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
