Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Among ^in++++=Among
patients ^nns++++=patients
hospitalized ^nn+++??+=hospitalized
with ^in++++=with
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
41.2 ^cd++++=41.2%
% ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
an ^at++++=an
increased ^jj+++xvbn+=increased
Lf ^np+++??+=LF/HF
ratio ^nn++++=ratio,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
indicate ^vb+vprv+++=indicate
an ^at++++=an
alteration ^nn++++=alteration
in ^in++++=in
autonomic ^nn++++=autonomic
function ^nn++++=function.
. ^zz++++=EXTRAWORD
