Fear ^vb++++=Fear
and ^cc++++=and
worry ^nn++++=worry
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
many ^ap++++=many
interviews ^nns++++=interviews,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
as ^ql++++=as
direct ^vb+vpub+++=direct
responses ^nns++++=responses
to ^in++++=to
personal ^jj+atrb+++=personal
experiences ^nns++++=experiences
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
participants ^nns++++=participants
or ^cc++++=or
as ^ql++++=as
reactions ^nns++++=reactions
to ^in++++=to
incidents ^nns++++=incidents
of ^in++++=of
persecution ^nn++++=persecution
and ^cc++++=and
intimidation ^vb+++??+=intimidation
encountered ^vpsv++by+xvbn+=encountered
by ^in++++=by
colleagues ^nns++++=colleagues.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
suggest ^vb+vpub+++=suggest
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
an ^at++++=an
institutional ^jj+atrb+++=institutional
climate ^nn++++=climate
characterized ^nn+++??+=characterized
by ^in++++=by
heightened ^vpsv++agls+xvbn+=heightened
concern ^nn++++=concern,
, ^zz++++=EXTRAWORD
withdrawal ^nn++++=withdrawal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
self ^nn++++=self-censorship.
- ^zz++++=EXTRAWORD
censorship. ^nn++++=EXTRAWORD
