Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
two ^cd++++=two
additional ^jj+atrb+++=additional
websites ^nns+++??+=websites
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Biblioteca ^np+++??+=Biblioteca
Digital ^jj++++=Digital
de ^&fw++++=de
Teses ^np+++??+=Teses
e ^zz++++=e
Disserta ^np+++??+=Disserta
es ^&fw++++=es
( ^zz++++=(BDTD;
bdtd ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Digital ^jj+atrb+++=Digital
Library ^nn++++=Library
of ^in++++=of
Dissertations ^np+++??+=Dissertations
and ^cc++++=and
Theses ^nns++++=Theses)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Cat ^nn++++=Cat
logo ^nn+++??+=logo
de ^&fw++++=de
Teses ^np+++??+=Teses
e ^zz++++=e
Disserta ^np+++??+=Disserta
es ^&fw++++=es
da ^np++++=da
Capes ^np+++??+=CAPES
( ^zz++++=(CAPES
capes ^nns+++??+=EXTRAWORD
Dissertations ^np+++??+=Dissertations
and ^cc++++=and
Theses ^nns++++=Theses
Catalog ^np+++??+=Catalog).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
platforms ^nns++++=platforms
are ^vb+ber+aux++=are
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
access ^nn++++=access
to ^to++++=to
and ^cc++++=and
increase ^nn++++=increase
the ^ati++++=the
visibility ^nn++++=visibility
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
theses ^nns++++=theses
and ^cc++++=and
dissertations ^nns+++??+=dissertations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Bdtd ^np+++??+=BDTD
is ^vbz+bez+aux++=is
managed ^vpsv++by+xvbnx+=managed
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Institute ^nn++++=Institute
of ^in++++=of
Information ^nn++++=Information
in ^in++++=in
Science ^nn++++=Science
and ^cc++++=and
Technology ^nn++++=Technology.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
homepage ^nn+++??+=homepage
features ^nns++++=features
a ^at++++=a
simplified ^jj+atrb++xvbn+=simplified
keyword ^nn++++=keyword
search ^nn++++=search
interface ^nn+++??+=interface
with ^in++++=with
four ^cd++++=four
filter ^nn++++=filter
options ^nns+++??+=options
todos ^nns+++??+=todos
os ^nns+++??+=os
campos ^nns+++??+=campos
( ^zz++++=(all
all ^abn++++=EXTRAWORD
fields ^nns++++=fields),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
t ^zz++++=t
tulo ^nn+++??+=tulo
( ^zz++++=(title),
title ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
autor ^nn+++??+=autor
( ^zz++++=(author),
author ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assunto ^nn+++??+=assunto
( ^zz++++=(topic)
topic ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
an ^at++++=an
advanced ^jj+atrb++xvbn+=advanced
search ^nn++++=search
function ^nn++++=function
that ^tht+rel+subj++=that
offers ^vbz++++=offers
a ^at++++=a
broader ^jjr+atrb+++=broader
range ^nn++++=range
of ^in++++=of
filters ^nns++++=filters
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
