Paleolimnological ^np+++??+=Paleolimnological
studies ^nns++++=studies
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
demonstrated ^vpsv++agls+xvbnx+=demonstrated
to ^to++++=to
be ^vbi++vrb++=be
effective ^jj+atrb+++=effective
tools ^nns++++=tools
for ^in++++=for
reconstructing ^nn+++??+=reconstructing
environmental ^jj+atrb+++=environmental
biodiversity ^nn+++??+=biodiversity
and ^cc++++=and
floristic ^nn+++??+=floristic
changes ^nns++++=changes
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Smol ^np+++??+=Smol
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Bennion ^np+++??+=Bennion
& ^zz++++=&
Simpson ^np++++=Simpson
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Davidson ^np++++=Davidson
& ^zz++++=&
Jeppesen ^np+++??+=Jeppesen
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Wengrat ^np+++??+=Wengrat
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
data ^nns++++=data
derived ^vbd+++xvbn+=derived
from ^in++++=from
past ^jjb+atrb+++=past
environmental ^jj+atrb+++=environmental
communities ^nns++++=communities
frequently ^rb++++=frequently
represent ^vb++++=represent
the ^ati++++=the
only ^rb+down+++=only
available ^jj+atrb+++=available
source ^nn++++=source
of ^in++++=of
information ^nn++++=information
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
biodiversity ^nn+++??+=biodiversity
prior ^jj++++=prior
to ^in++++=to
anthropogenic ^nn+++??+=anthropogenic
impacts ^nns+++??+=impacts
( ^zz++++=(Smol
smol ^nn+++??+=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
le ^&fw++++=Le
treut ^np++++=Treut
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
