According ^in+cmpx+++=According
to ^in++++=to
Andrew ^np++++=Andrew
Wright ^np++++=Wright
and ^cc++++=and
Elina ^np+++??+=Elina
Hella ^np+++??+=Hella
s ^zz++++=s
( ^zz++++=(2008,
2008 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
56 ^cd++++=56)
) ^zz++++=EXTRAWORD
categorisation ^nn+++??+=categorisation,
, ^zz++++=EXTRAWORD
confessional ^nn++++=confessional
education ^nn++++=education
refers ^vbz++++=refers
to ^in++++=to
any ^dti++++=any
form ^nn++++=form
of ^in++++=of
religious ^jj+atrb+++=religious
education ^nn++++=education
in ^in++++=in
which ^whp+rel+pied++=which
both ^abx++++=both
the ^ati++++=the
learners ^nns++++=learners
and ^cc++++=and
the ^ati++++=the
curriculum ^nn++++=curriculum
share ^nn++++=share
a ^at++++=a
common ^jj+atrb+++=common
worldview ^nn+++??+=worldview.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
definition ^nn++++=definition
encompasses ^vbz++++=encompasses
not ^xnot++not++=not
only ^rb+down+++=only
denominational ^jj+atrb+++=denominational
models ^nns++++=models
of ^in++++=of
religious ^jj+atrb+++=religious
education ^nn++++=education
( ^zz++++=(RE)
re ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
but ^cc++++=but
also ^rb++++=also
multidenominational ^jj+atrb++??+=multidenominational
models ^nns++++=models
that ^tht+rel+subj++=that
seek ^vb++++=seek
to ^to+vcmp+++=to
examine ^vbi++++=examine
various ^jj++++=various
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
moral ^jj+atrb+++=moral
frameworks ^nns++++=frameworks.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
diverges ^vbz++++=diverges
from ^in++++=from
political ^jj+atrb+++=political
liberalism ^nn++++=liberalism
by ^in++++=by
being ^xvbg+++xvbg+=being
grounded ^jj+++xvbn+=grounded
in ^in++++=in
a ^at++++=a
substantive ^jj+atrb+++=substantive
ethical ^jj+atrb+++=ethical
framework ^nn++++=framework
of ^in++++=of
political ^jj+atrb+++=political
principles ^nns++++=principles
that ^tht+ncmp+++=that
express ^jjb+atrb+++=express
tradition ^nn++++=tradition-constituted
- ^zz++++=EXTRAWORD
constituted ^xvbn+++xvbn+=EXTRAWORD
reasons ^nns++++=reasons
through ^in++++=through
worldviews ^nns+++??+=worldviews
and ^cc++++=and
cultural ^jj+atrb+++=cultural
perspectives ^nns++++=perspectives.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
comparative ^jj+atrb+++=comparative
analysis ^nn++++=analysis
of ^in++++=of
Re ^in++++=RE
in ^in++++=in
Finland ^np++++=Finland
and ^cc++++=and
the ^ati++++=the
Uk ^np++++=UK,
, ^zz++++=EXTRAWORD
Wright ^np++++=Wright
and ^cc++++=and
Hella ^np+++??+=Hella
highlight ^nn++++=highlight
that ^tht+rel+++=that
both ^abx++++=both
systems ^nns++++=systems
exhibit ^vb++++=exhibit
a ^at++++=a
confessional ^nn++++=confessional
orientation ^nn++++=orientation
insofar ^nn+++??+=insofar
as ^ql++++=as
Christianity ^nn++++=Christianity
occupies ^vbz++++=occupies
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
syllabuses ^nns++++=syllabuses
and ^cc++++=and
exerts ^vbz++++=exerts
significant ^jj+atrb+++=significant
influence ^nn++++=influence
on ^in++++=on
the ^ati++++=the
national ^jj+atrb+++=national
curriculum ^nn++++=curriculum,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
areas ^nns++++=areas
related ^vbd+++xvbn+=related
to ^in++++=to
moral ^jj+atrb+++=moral
and ^cc+phrs+++=and
civic ^jj+atrb+++=civic
education ^nn++++=education.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
Finland ^np++++=Finland
and ^cc++++=and
the ^ati++++=the
Uk ^np++++=UK,
, ^zz++++=EXTRAWORD
students ^nns++++=students
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
engage ^vbi++++=engage
with ^in++++=with
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
worldviews ^nns+++??+=worldviews
to ^to++++=to
support ^vbi++++=support
their ^pp$+pp3+++=their
spiritual ^jj++++=spiritual,
, ^zz++++=EXTRAWORD
moral ^jj++++=moral,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cultural ^jj+atrb+++=cultural
development ^nn++++=development.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Wright ^np++++=Wright
and ^cc++++=and
Hella ^np+++??+=Hella
( ^zz++++=(2008,
2008 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
56 ^cd++++=56)
) ^zz++++=EXTRAWORD
emphasize ^vb++++=emphasize,
, ^zz++++=EXTRAWORD
confessionalism ^nn+++??+=confessionalism
does ^vbz+doz+aux++=does
not ^xnot++not++=not
necessarily ^rb++++=necessarily
involve ^vb++++=involve
the ^ati++++=the
uncritical ^jj+atrb+++=uncritical
induction ^nn++++=induction
of ^in++++=of
students ^nns++++=students
into ^in++++=into
a ^at++++=a
particular ^jj+atrb+++=particular
worldview ^nn+++??+=worldview;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
both ^abx++++=both
Christianity ^nn++++=Christianity
and ^cc++++=and
secular ^jj+atrb+++=secular
liberalism ^nn++++=liberalism
are ^vb+ber+aux++=are
internally ^rb++splt++=internally
contested ^vpsv++agls+xvbnx+=contested,
, ^zz++++=EXTRAWORD
education ^nn++++=education
within ^in++++=within
each ^dt++++=each
framework ^nn++++=framework
should ^md+nec+++=should
require ^vb+vsua+++=require
the ^ati++++=the
exercise ^nn++++=exercise
of ^in++++=of
critical ^jj+atrb+++=critical
judgement ^nn++++=judgement.
. ^zz++++=EXTRAWORD
