Academic ^jj+atrb+++=Academic
evaluation ^nn++++=evaluation
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
longstanding ^nn+++??+=longstanding
subject ^nn++++=subject
of ^in++++=of
consideration ^nn++++=consideration
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
education ^nn++++=education.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
education ^nn++++=education
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
subject ^nn++++=subject
to ^in++++=to
evaluation ^nn++++=evaluation
for ^in++++=for
an ^at++++=an
extended ^jj+atrb++xvbn+=extended
period ^nn++++=period
( ^zz++++=(Guimar
guimar ^nn+++??+=EXTRAWORD
es ^&fw++++=es
and ^cc++++=and
Esteves ^np+++??+=Esteves,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
graduate ^nn++++=graduate
programs ^nns+++??+=programs
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
evaluated ^vpsv++agls+xvbnx+=evaluated
for ^in++++=for
several ^ap++++=several
decades ^nns++++=decades
by ^in++++=by
the ^ati++++=the
Coordena ^np+++??+=Coordena
o ^zz++++=o
de ^&fw++++=de
Aperfei ^np+++??+=Aperfei
oamento ^nn+++??+=oamento
de ^&fw++++=de
Pessoal ^np+++??+=Pessoal
de ^&fw++++=de
N ^zz++++=N
vel ^np++++=vel
Superior ^jj++++=Superior
( ^zz++++=(CAPES)
capes ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Rodrigues
rodrigues ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
changes ^nns++++=changes
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
implemented ^vwbn+++xvbn+=implemented
in ^in++++=in
the ^ati++++=the
evaluation ^nn++++=evaluation
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
increased ^jj+atrb+++=increased
emphasis ^nn++++=emphasis
on ^in++++=on
multidimensional ^nn++++=multidimensional
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
