Figure ^nn++++=Figure
4 ^zz++++=4
provides ^vbz+vsua+++=provides
adjusted ^vbd+++xvbn+=adjusted
z ^zz++++=z
- ^zz++++=-score
score ^nn++++=EXTRAWORD
coefficients ^nns++++=coefficients
of ^in++++=of
boys ^nns++++=boys
relative ^jj++++=relative
to ^in++++=to
girls ^nns++++=girls
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
8 ^zz++++=8
days ^nns++++=days
from ^in++++=from
five ^cd++++=five
separate ^jj+atrb+++=separate
regression ^nn++++=regression
models ^nns++++=models
including ^in++++=including
children ^nns++++=children
of ^in++++=of
a ^at++++=a)
) ^zz++++=EXTRAWORD
all ^abn++++=all
mothers ^nns++++=mothers,
, ^zz++++=EXTRAWORD
mothers ^nns++++=mothers
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
b ^zz++++=b)
) ^zz++++=EXTRAWORD
underweight ^jj++++=underweight,
, ^zz++++=EXTRAWORD
c ^zz++++=c)
) ^zz++++=EXTRAWORD
not ^xnot++not++=not
underweight ^jj++++=underweight,
, ^zz++++=EXTRAWORD
d ^zz++++=d)
) ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
stature ^nn++++=stature
and ^cc++++=and
e ^zz++++=e)
) ^zz++++=EXTRAWORD
not ^xnot++not++=not
short ^jj+atrb+++=short
stature ^nn++++=stature.
. ^zz++++=EXTRAWORD
Boys ^nns++++=Boys
had ^vb+hv+vrb++=had
lower ^jjr+atrb+++=lower
adjusted ^jj+++xvbn+=adjusted
Laz ^np+++??+=LAZ
than ^in++++=than
girls ^nns++++=girls
in ^in++++=in
all ^abn++++=all
subgroups ^nns+++??+=subgroups.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difference ^nn++++=difference
was ^vbd+bedz+vrb++=was
0.15 ^nn+++??+=0.15
in ^in++++=in
not ^xnot++not++=not
underweight ^jj++++=underweight
and ^cc++++=and
0.11 ^nn+++??+=0.11
in ^in++++=in
underweight ^jj+atrb+++=underweight
mothers ^nns++++=mothers.
. ^zz++++=EXTRAWORD
As ^in++++=As
stated ^nn++++=stated
in ^in++++=in
H ^zz++++=H
0 ^zz++++=0
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coefficient ^nn++++=coefficient
for ^in++++=for
Laz ^np+++??+=LAZ
of ^in++++=of
boys ^nns++++=boys
relative ^jj++++=relative
to ^in++++=to
girls ^nns++++=girls
born ^vwbn+++xvbn+=born
to ^in++++=to
short ^jj+atrb+++=short
women ^nns++++=women
( ^zz++++=(<145
< ^zz++++=EXTRAWORD
145 ^cd++++=EXTRAWORD
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
negative ^jj+pred+++=negative
( ^zz++++=(
0.32 ^nn+++??+=0.32)
) ^zz++++=EXTRAWORD
than ^in++++=than
in ^in++++=in
children ^nns++++=children
of ^in++++=of
not ^xnot++not++=not
short ^jj+atrb+++=short
women ^nns++++=women
( ^zz++++=(
0.11 ^nn++++=0.11)
) ^zz++++=EXTRAWORD
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
s5 ^np++++=S5
) ^zz++++=).
. ^zz++++=EXTRAWORD
