India ^np++++=India,
, ^zz++++=EXTRAWORD
much ^ap++++=much
like ^in++++=like
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
vested ^jj+atrb++xvbn+=vested
ideological ^jj+atrb+++=ideological
interest ^nn++++=interest
in ^in++++=in
maintaining ^xvbg+++xvbg+=maintaining
the ^ati++++=the
perception ^nn++++=perception
that ^tht+ncmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
democracy ^nn++++=democracy
free ^jj++++=free
of ^in++++=of
racism ^nn+++??+=racism.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
until ^in++++=until
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=Indian
officials ^nns++++=officials
have ^vb+hv+vrb++=have
publicly ^rb++++=publicly
disavowed ^jj+++??+=disavowed
any ^dti++++=any
possibility ^nn++++=possibility
of ^in++++=of
racism ^nn+++??+=racism
within ^in++++=within
national ^jj+atrb+++=national
borders ^nns++++=borders
( ^zz++++=(
Mcduie ^np++++=McDuie-Ra
- ^zz++++=EXTRAWORD
ra ^nn+++??+=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
scholars ^nns++++=scholars
have ^vb+hv+vrb++=have
long ^jj++++=long
debated ^jj+++xvbn+=debated
the ^ati++++=the
similarities ^nns++++=similarities
and ^cc++++=and
differences ^nns++++=differences
between ^in++++=between
Indian ^jj+atrb+++=Indian
caste ^nn++++=caste
and ^cc++++=and
American ^jj+atrb+++=American
race ^nn++++=race
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Beteille ^np+++??+=Beteille
1990 ^cd+date+++=1990
, ^zz++++=,
Cox ^np+++??+=Cox
1945 ^cd+date+++=1945
) ^zz++++=).
. ^zz++++=EXTRAWORD
Indian ^jj++++=Indian
and ^cc++++=and
Us ^pp1o+pp1+++=US-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
activists ^nns++++=activists,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
using ^vbg+++xvbgx+=using
transnational ^nn+++??+=transnational
parallels ^nns+++??+=parallels
between ^in++++=between
race ^nn++++=race
and ^cc++++=and
caste ^nn++++=caste
to ^in++++=to
marshal ^npt++++=marshal
support ^nn++++=support
for ^in++++=for
populations ^nns++++=populations
subject ^nn++++=subject
to ^in++++=to
discrimination ^nn++++=discrimination
since ^in++++=since
at ^rb++++=at
least ^rbt++++=least
the ^ati++++=the
1960s ^cd+date+++=1960s.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
parallels ^nns+++??+=parallels
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
drawn ^vpsv++agls+xvbnx+=drawn
repeatedly ^rb++++=repeatedly
by ^in++++=by
both ^abx++++=both
sides ^nns++++=sides
to ^to++++=to
argue ^vbi+vpub+++=argue
for ^in++++=for
greater ^jjr+atrb+++=greater
legal ^jj+atrb+++=legal
representation ^nn++++=representation
of ^in++++=of
oppressed ^jj+atrb+++=oppressed
race ^nn++++=race
and ^cc++++=and
caste ^nn++++=caste
groups ^nns++++=groups
and ^cc++++=and
to ^in++++=to
highlight ^nn++++=highlight
human ^jj+atrb+++=human
rights ^nns++++=rights
violations ^nns++++=violations
against ^in++++=against
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
