many ^ap++++=many
of ^in++++=of
the ^ati++++=the
political ^jj+atrb+++=political
agendas ^nns++++=agendas
based ^vwbn+++xvbn+=based
on ^in++++=on
identity ^nn++++=identity
( ^zz++++=(the
the ^ati++++=EXTRAWORD
suffragette ^nn+++??+=suffragette
movement ^nn++++=movement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
movement ^nn++++=movement
for ^in++++=for
the ^ati++++=the
equality ^nn++++=equality
of ^in++++=of
same ^ap++++=same-sex
- ^zz++++=EXTRAWORD
sex ^nn++++=EXTRAWORD
marriages ^nns++++=marriages,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
various ^jj+atrb+++=various
movements ^nns++++=movements
for ^in++++=for
the ^ati++++=the
full ^jj+atrb+++=full
civil ^jj+atrb+++=civil
rights ^nns++++=rights
of ^in++++=of
racialized ^nn+++??+=racialized
minority ^nn++++=minority
subjects ^nns++++=subjects,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
less ^rbr++splt++=less
concerned ^vpsv++agls+xvbnx+=concerned
with ^in++++=with
claiming ^xvbg+vpub+tht0+xvbg+=claiming
their ^pp$+pp3+++=their
suffering ^vbg+++xvbg+=suffering
per ^nnu++++=per
se ^&fw++++=se
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am)
) ^zz++++=EXTRAWORD
than ^in++++=than
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
with ^in++++=with
using ^xvbg+++xvbg+=using
wounding ^jj++++=wounding
as ^in++++=as
a ^at++++=a
stepping ^jj+atrb++xvbg+=stepping
stone ^nn++++=stone
in ^in++++=in
the ^ati++++=the
quest ^nn++++=quest
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want)
) ^zz++++=EXTRAWORD
for ^in++++=for
rights ^nns++++=rights
equal ^jj++++=equal
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
full ^jj+atrb+++=full
citizens ^nns++++=citizens.
. ^zz++++=EXTRAWORD
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
76 ^cd++++=76)
) ^zz++++=EXTRAWORD
