Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Stunting ^np+++??+=Stunting
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
observed ^vpsv++agls+xvbnx+=observed
not ^xnot++not++=not
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
in ^in++++=in
affluent ^jj++++=affluent
and ^cc++++=and
well ^rb++++=well-nourished
- ^zz++++=EXTRAWORD
nourished ^vprf+++xvbn+=EXTRAWORD
social ^jj+atrb+++=social
strata ^nns++++=strata
last ^rb++++=last
10 ^cd++++=10
000 ^nn+++??+=000
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
in ^in++++=in
very ^ql+amp+++=very
recent ^jj+atrb+++=recent
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
democratic ^jj+atrb+++=democratic,
, ^zz++++=EXTRAWORD
modern ^jj+atrb+++=modern
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
stature ^nn++++=stature
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
beyond ^in++++=beyond
the ^ati++++=the
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
historic ^jj+atrb+++=historic
height ^nn++++=height
average ^nn+nom+++=average.
. ^zz++++=EXTRAWORD
Viewed ^xvbn+++xvbn+=Viewed
from ^in++++=from
an ^at++++=an
evolutionary ^jj+atrb+++=evolutionary
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
considering ^vbg+++xvbg+=considering
adaptive ^jj+atrb+++=adaptive
plasticity ^nn+nom+++=plasticity
of ^in++++=of
and ^cc++++=and
community ^nn+nom+++=community
effects ^nns++++=effects
on ^in++++=on
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
competitive ^jj+atrb+++=competitive
growth ^nn++++=growth
and ^cc++++=and
strategic ^jj+atrb+++=strategic
growth ^nn++++=growth
adjustments ^nns+nom+++=adjustments,
, ^zz++++=EXTRAWORD
stunting ^xvbg+++xvbg+=stunting
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
natural ^jj+atrb+++=natural
condition ^nn+nom+++=condition
of ^in++++=of
human ^jj+atrb+++=human
height ^nn++++=height.
. ^zz++++=EXTRAWORD
