Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
studies ^nns++++=studies
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
that ^tht+vcmp+++=that
leftand ^nn+++??+=leftand
mixed ^vbd+++xvbn+=mixed-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
report ^vb++++=report
being ^vbg+beg++xvbg+=being
more ^rbr++++=more
aggressive ^jj++++=aggressive
and ^cc+phrs+++=and
engaging ^jj+++xvbg+=engaging
in ^in++++=in
more ^ql++++=more
fights ^nns++++=fights
than ^in++++=than
right ^jj++++=right-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
( ^zz++++=(van
van ^&fw++++=EXTRAWORD
der ^&fw++++=der
Feen ^np+++??+=Feen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Zickert ^np+++??+=Zickert
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
' ^zz++++='Fighting
fighting ^nvbg+++xvbg+=EXTRAWORD
Hypothesis ^nn++++=Hypothesis'
' ^zz++++=EXTRAWORD
of ^in++++=of
left ^vbd+++xvbn+=left-handedness
- ^zz++++=EXTRAWORD
handedness ^nns+++??+=EXTRAWORD
proposes ^vbz+vsua+tht0++=proposes
that ^tht+vcmp+++=that
left ^vbd+++xvbn+=left-handedness
- ^zz++++=EXTRAWORD
handedness ^nns+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
humans ^nns++++=humans
by ^in++++=by
natural ^jj+atrb+++=natural
selection ^nn++++=selection
due ^jj++++=due
to ^to+jcmp+++=to
left ^vbi++++=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
having ^vwbg+hvg++xvbg+=having
an ^at++++=an
advantage ^nn++++=advantage
in ^in++++=in
ritual ^jjb++++=ritual
fighting ^jj+++xvbg+=fighting
and ^cc++++=and
war ^nn++++=war
( ^zz++++=(Raymond
raymond ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996
; ^zz++++=;
Richardson ^np++++=Richardson
& ^zz++++=&
Gilman ^np+++??+=Gilman,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Left ^j+++xvbn+=Left-handers'
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
increased ^vbd+++xvbn+=increased
fighting ^nvbg+++xvbg+=fighting
success ^nn++++=success
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
