Key ^jjb++++=Key
among ^in++++=among
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
the ^ati++++=the
impacts ^nns+++??+=impacts
of ^in++++=of
nutrition ^nn++++=nutrition
and ^cc++++=and
obesity ^nn++++=obesity.
. ^zz++++=EXTRAWORD
Nutrition ^nn++++=Nutrition
likely ^jj++++=likely
has ^vbz+hvz+vrb++=has
direct ^jj+atrb+++=direct
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example
the ^ati++++=the
inflammatory ^jj++++=inflammatory
and ^cc++++=and
anti ^nn+++??+=anti-inflammatory
- ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=EXTRAWORD
properties ^nns++++=properties
of ^in++++=of
some ^dti++++=some
foods ^nns++++=foods
( ^zz++++=(
Alcock ^np++++=Alcock
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012
, ^zz++++=,
Johnson ^np++++=Johnson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021
, ^zz++++=,
Shivappa ^np+++??+=Shivappa
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=),
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
has ^vbz+hvz+vrb++=has
indirect ^jj+atrb+++=indirect
effects ^nns++++=effects
through ^in++++=through
the ^ati++++=the
accumulation ^nn++++=accumulation
of ^in++++=of
adipose ^nn+++??+=adipose
tissue ^nn++++=tissue,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
produces ^vbz++++=produces
inflammatory ^jj+atrb+++=inflammatory
cytokines ^nns+++??+=cytokines
( ^zz++++=(
Yudkin ^np++++=Yudkin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
accumulation ^nn++++=accumulation
is ^vbz+bez+aux++=is
itself ^ppl++++=itself
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
early ^jj++++=early-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
malnutrition ^nn++++=malnutrition
and ^cc++++=and
infection ^nn++++=infection
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+vrb++=be
an ^at++++=an
adaptive ^nn+++??+=adaptive
response ^nn++++=response
that ^tht+rel+subj++=that
evolved ^vprf+++xvbn+=evolved
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
reservoir ^nn++++=reservoir
of ^in++++=of
visceral ^nn+++??+=visceral
fat ^nn++++=fat
to ^to++++=to
be ^vbi++vrb++=be
mobilized ^nn+++??+=mobilized
for ^in++++=for
fighting ^xvbg+++xvbg+=fighting
infections ^nns++++=infections
( ^zz++++=(
