Prior ^in+cmpx+++=Prior
to ^in"++++=to
the ^ati++++=the
first ^od++++=first
round ^rp++++=round
of ^in++++=of
data ^nns++++=data
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
participant ^nn+nom+++=participant
height ^nn++++=height,
, ^zz++++=EXTRAWORD
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sex ^nn++++=sex
were ^vbd+bed+aux++=were
programed ^vpsv++agls+xvbnx+=programed
into ^in++++=into
Polar ^jj+atrb+++=Polar
Active ^jj+atrb+++=Active
Activity ^nn+nom+++=Activity
Monitor ^nn++++=Monitor
accelerometers ^nns+nom+++=accelerometers.
. ^zz++++=EXTRAWORD
Height ^nn++++=Height
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
a ^at++++=a
Seca ^np+++??+=SECA
213 ^cd++++=213
portable ^jj++++=portable
stadiometer ^jjr++++=stadiometer.
. ^zz++++=EXTRAWORD
Weight ^nn++++=Weight,
, ^zz++++=EXTRAWORD
age ^nn++++=age
and ^cc++++=and
sex ^nn++++=sex
were ^vbd+bed+vrb++=were
self ^nn++++=self-reported.
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Participants ^nns+nom+++=Participants
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
to ^to+vcmp+++=to
wear ^vbi++++=wear
their ^pp$+pp3+++=their
accelerometers ^nns+nom+++=accelerometers
on ^in++++=on
their ^pp$+pp3+++=their
wrists ^nns++++=wrists
for ^in++++=for
as ^ql++++=as
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
24 ^cd++++=24-h
- ^zz++++=EXTRAWORD
h ^zz++++=EXTRAWORD
day ^nn++++=day
as ^ql++++=as
possible ^jj++++=possible
but ^cc++++=but
were ^vbd+bed+aux++=were
directed ^vpsv++agls+xvbnx+=directed
to ^to++++=to
remove ^vbi++++=remove
the ^ati++++=the
water ^nn++++=water-resistant
- ^zz++++=EXTRAWORD
resistant ^jj+atrb+++=EXTRAWORD
devices ^nns++++=devices
while ^cs+sub+++=while
bathing ^nvbg+++xvbg+=bathing
and ^cc++++=and
recreational ^jj++++=recreational
swimming ^jj+++xvbg+=swimming
out ^rp+pl+++=out
of ^in++++=of
an ^at++++=an
abundance ^nn+nom+++=abundance
of ^in++++=of
caution ^nn+nom+++=caution.
. ^zz++++=EXTRAWORD
All ^abn++++=All
participants ^nns+nom+++=participants
wore ^vbd+++xvbn+=wore
accelerometers ^nns+nom+++=accelerometers
for ^in++++=for
approximately ^rb+down+++=approximately
161 ^cd++++=161
h ^zz++++=h
( ^zz++++=(6-days)
6 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
over ^in++++=over
a ^at++++=a
continuous ^jj++++=continuous
168 ^cd++++=168
h ^zz++++=h
( ^zz++++=(7-day)
7 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
time ^nn++++=time
showering ^vwbg+++xvbg+=showering
or ^cc++++=or
swimming ^vwbg+++xvbg+=swimming.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
return ^nn++++=return
to ^in++++=to
the ^ati++++=the
Us ^pp1o+pp1+++=US,
, ^zz++++=EXTRAWORD
students ^nns++++=students
were ^vbd+bed+aux++=were
issued ^vpsv++agls+xvbnx+=issued
their ^pp$+pp3+++=their
accelerometers ^nns+nom+++=accelerometers
again ^rb+tm+++=again
during ^in++++=during
their ^pp$+pp3+++=their
third ^nn++++=third
week ^nn++++=week
of ^in+emph+++=of
course ^nn+emph"+++=course
work ^nn++++=work
in ^in++++=in
traditional ^jj+atrb+++=traditional
classrooms ^nns++++=classrooms.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
chose ^vbd+++xvbn+=chose
the ^ati++++=the
third ^nn++++=third
week ^nn++++=week
to ^to++++=to
capture ^vbi++++=capture
a ^at++++=a
more ^rbr++++=more
typical ^jj+atrb+++=typical
activity ^nn+nom+++=activity
schedule ^nn++++=schedule
as ^ql++++=as
students ^nns++++=students
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
undergoing ^vbg+++xvbgx+=undergoing
schedule ^nn++++=schedule
and ^cc++++=and
activity ^nn+nom+++=activity
transitions ^nns+nom+++=transitions
in ^in++++=in
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
second ^od++++=second
weeks ^nns++++=weeks
of ^in++++=of
class ^nn++++=class.
. ^zz++++=EXTRAWORD
