Like ^in++++=Like
many ^ap++++=many
countries ^nns++++=countries
in ^in++++=in
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South,
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia
has ^vbz+hvz+aux++=has
fallen ^vprf+++xvbn+=fallen
victim ^nn++++=victim
to ^in++++=to
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
contemporary ^jj+atrb+++=contemporary
climate ^nn+nom+++=climate
change ^nn++++=change,
, ^zz++++=EXTRAWORD
including ^in++++=including
changes ^nns++++=changes
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
averages ^nns+nom+++=averages
and ^cc++++=and
the ^ati++++=the
variability ^nn+nom+++=variability
of ^in++++=of
temperature ^nn++++=temperature
and ^cc++++=and
precipitation ^nn+nom+++=precipitation
( ^zz++++=(Seiler,
seiler ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Boesch ^np+++??+=Boesch,
, ^zz++++=EXTRAWORD
Mundry ^np+++??+=Mundry,
, ^zz++++=EXTRAWORD
Stephens ^np+++??+=Stephens,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Robbins ^np++++=Robbins,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
natural ^jj+atrb+++=natural
disasters ^nns+nom+++=disasters
Bolivia ^np+++??+=Bolivia
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
floods ^nns++++=floods,
, ^zz++++=EXTRAWORD
droughts ^nns+++??+=droughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
landslides ^nns+++??+=landslides
are ^vb+ber+vrb++=are
all ^abn++++=all
related ^jj+++xvbn+=related
to ^in++++=to
precipitation ^nn+nom+++=precipitation,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
low ^jj++++=low
or ^cc+phrs+++=or
excess ^jj++++=excess
( ^zz++++=(World
world ^nn++++=EXTRAWORD
Bank ^nn++++=Bank
Group ^nn++++=Group,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
Increased ^jj+atrb++xvbn+=Increased
variability ^nn+nom+++=variability
in ^in++++=in
precipitation ^nn+nom+++=precipitation
is ^vbz+bez+vrb++=is
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
feature ^nn++++=feature
of ^in++++=of
most ^ql+emph+++=most
global ^jj+atrb+++=global
climate ^nn+nom+++=climate
projections ^nns+nom+++=projections
( ^zz++++=(Pendergrass
pendergrass ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=),
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
generally ^rb+down+++=generally
increased ^jj+atrb++xvbn+=increased
likelihood ^nn+nom+++=likelihood
of ^in++++=of
extreme ^jj+atrb+++=extreme
precipitation ^nn+nom+++=precipitation
events ^nns++++=events
in ^in++++=in
the ^ati++++=the
future ^nn++++=future
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Prein ^np+++??+=Prein
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
ragno ^np++++=Ragno
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
