Both ^abx++++=Both
adult ^jj+atrb+++=adult
stature ^nn++++=stature
and ^cc++++=and
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
sexual ^jj+atrb+++=sexual
stature ^nn++++=stature
differences ^nns++++=differences
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
utilized ^vpsv++agls+xvbnx+=utilized
to ^to++++=to
investigate ^vbi++++=investigate
health ^nn++++=health
and ^cc++++=and
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
in ^in++++=in
both ^abx++++=both
living ^jj+atrb++xvbg+=living
and ^cc+phrs+++=and
past ^jjb+atrb+++=past
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
well ^rb++++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
utilized ^nn++++=utilized
in ^in++++=in
bioarchaeological ^nn+++??+=bioarchaeological
research ^nn++++=research,
, ^zz++++=EXTRAWORD
includes ^vb++++=includes
variables ^nns++++=variables
such ^abl++++=such
as ^ql++++=as
life ^nn++++=life
expectancy ^nn++++=expectancy,
, ^zz++++=EXTRAWORD
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
at ^in++++=at
both ^abx++++=both
the ^ati++++=the
individual ^nn++++=individual
and ^cc++++=and
population ^nn++++=population
level ^nn++++=level
( ^zz++++=(Wood,
wood ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
) ^zz++++=).
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
use ^nn++++=use
height ^nn++++=height
differentials ^nns++++=differentials
as ^in++++=as
an ^at++++=an
indicator ^nn++++=indicator
of ^in++++=of
stress ^nn++++=stress
and ^cc++++=and
a ^at++++=a
measurable ^jj+atrb+++=measurable
element ^nn++++=element
of ^in++++=of
health ^nn++++=health.
. ^zz++++=EXTRAWORD
In ^in++++=In
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
stature ^nn++++=stature
bimodalism ^nn+++??+=bimodalism
or ^cc++++=or
difference ^nn++++=difference
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
difference ^nn++++=difference
in ^in++++=in
average ^jj+atrb+++=average
male ^jj+atrb+++=male
stature ^nn++++=stature
relative ^jj++++=relative
to ^in++++=to
average ^jj+atrb+++=average
female ^nn++++=female
stature ^nn++++=stature.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
factors ^nns++++=factors
are ^vb+ber+aux++=are
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
influence ^vb++++=influence
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
Ssd ^np+++??+=SSD
in ^in++++=in
a ^at++++=a
population ^nn++++=population
including ^in++++=including
diet ^nn++++=diet,
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
division ^nn++++=division
of ^in++++=of
labor ^nn+++??+=labor,
, ^zz++++=EXTRAWORD
mating ^nn++++=mating
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
climate ^nn++++=climate
( ^zz++++=(Holden
holden ^np++++=EXTRAWORD
& ^zz++++=&
Mace ^np+++??+=Mace,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
; ^zz++++=;
Plavcan ^np+++??+=Plavcan,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
; ^zz++++=;
Pomeroy ^np+++??+=Pomeroy
& ^zz++++=&
Zakrzewski ^np+++??+=Zakrzewski,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
; ^zz++++=;
Shine ^vb++++=Shine,
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
) ^zz++++=).
. ^zz++++=EXTRAWORD
Ultimately ^rb+cnj+++=Ultimately,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
factors ^nns++++=factors
affect ^vb++++=affect
the ^ati++++=the
achieved ^jj+atrb++xvbn+=achieved
adult ^nn++++=adult
height ^nn++++=height
of ^in++++=of
females ^nns++++=females
and ^cc++++=and
males ^nns++++=males
by ^in++++=by
influencing ^xvbg+++xvbg+=influencing
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions
present ^nn++++=present
during ^in++++=during
growth ^nn++++=growth
and ^cc++++=and
development ^nn++++=development.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
sexual ^jj+atrb+++=sexual
stature ^nn++++=stature
difference ^nn++++=difference
specifically ^rb++++=specifically
as ^in++++=as
an ^at++++=an
indicator ^nn++++=indicator
of ^in++++=of
living ^xvbg+++xvbg+=living
standards ^nns++++=standards
is ^vbz+bez+aux++=is
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
stature ^nn++++=stature
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
presumed ^vpsv++agls+xvbnx+=presumed
to ^to+vcmp+++=to
occur ^vbi++++=occur
in ^in++++=in
response ^nn++++=response
to ^in++++=to
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
Females ^nns++++=Females
are ^vb+ber+vrb++=are
hypothesized ^nn+++??+=hypothesized
to ^to++++=to
be ^vbi++vrb++=be
better ^jjr++++=better
equipped ^jj+++xvbn+=equipped
to ^in++++=to
buffer ^nn++++=buffer
against ^in++++=against
environmental ^jj+atrb+++=environmental
insults ^nns+++??+=insults
via ^in++++=via
inherent ^jj+atrb+++=inherent
biological ^jj+atrb+++=biological
mechanisms ^nns++++=mechanisms
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
enhanced ^jj+atrb++xvbn+=enhanced
immune ^jj+atrb+++=immune
response ^nn++++=response),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
physical ^jj+atrb+++=physical
growth ^nn++++=growth
for ^in++++=for
males ^nns++++=males
may ^md+pos+++=may
fluctuate ^vb+++??+=fluctuate
more ^rbr++++=more
with ^in++++=with
variation ^nn++++=variation
in ^in++++=in
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions
( ^zz++++=(Grossman,
grossman ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
; ^zz++++=;
Sohn ^np+++??+=Sohn,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Stinson ^np+++??+=Stinson,
, ^zz++++=EXTRAWORD
1985 ^cd+date+++=1985
) ^zz++++=).
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
males ^nns++++=males
who ^whp+rel+obj++=who
experience ^nn++++=experience
relatively ^rb++++=relatively
good ^jj+atrb+++=good
nutritional ^jj+atrb+++=nutritional
and ^cc+phrs+++=and
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi++vrb++=be
taller ^jjr+pred+++=taller
than ^in++++=than
males ^nns++++=males
in ^in++++=in
poorer ^jjr+atrb+++=poorer
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
female ^nn++++=female
height ^nn++++=height
is ^vbz+bez+aux++=is
not ^xnot++not++=not
anticipated ^vprf+++xvbn+=anticipated
to ^in++++=to
fluctuate ^nn+++??+=fluctuate
as ^ql++++=as
dramatically ^rb++++=dramatically
with ^in++++=with
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions
given ^vwbn+++xvbn+=given
the ^ati++++=the
aforementioned ^nn+++??+=aforementioned
buffering ^nn+++??+=buffering.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
a ^at++++=a
higher ^jjr+atrb+++=higher
degree ^nn++++=degree
of ^in++++=of
Ssd ^np+++??+=SSD
in ^in++++=in
a ^at++++=a
population ^nn++++=population
is ^vbz+bez+aux++=is
therefore ^rb+cnj+splt++=therefore
expected ^vpsv++agls+xvbn+=expected
when ^wrb+who+whcl++=when
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
